call_id,customer_id,date,transcript,key_quotes,competitor_mentioned,expansion_signals,churn_signals
CALL-2010,HC-1005,2024-05-28,"CALL TRANSCRIPT
Customer: Advanced Healthcare Group (HC-1005)
Date: 2024-05-28
Duration: 65 minutes
Type: renewal
Participants: Practice Manager (Customer), CSM Team

[00:02:15]
Practice Manager: ""Look, I'm going to be honest with you. the scheduling conflicts are causing patient complaints. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Practice Manager: ""It's been about 2 weeks now. And here's the thing - we're paying you $20,787 per month specifically because you promised reduced admin burden. That was the whole selling point.""

[00:05:20]
Practice Manager: ""I had a demo from eClinicalWorks last week. They showed me their Epic connector and it looked more stable. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Thursday?""

[00:08:30]
Practice Manager: ""Wednesday works. But this is urgent. We're 33 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2011,HC-1005,2024-12-02,"CALL TRANSCRIPT
Customer: Advanced Healthcare Group (HC-1005)
Date: 2024-12-02
Duration: 86 minutes
Type: check-in
Participants: Multiple stakeholders (Customer), CSM Team

[00:02:15]
Multiple stakeholders: ""Look, I'm going to be honest with you. the Epic integration keeps breaking after their updates. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Multiple stakeholders: ""It's been about 4 weeks now. And here's the thing - we're paying you $20,787 per month specifically because you promised workflow efficiency. That was the whole selling point.""

[00:05:20]
Multiple stakeholders: ""I had a demo from eClinicalWorks last week. They showed me their Epic connector and it looked more stable. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Wednesday?""

[00:08:30]
Multiple stakeholders: ""I can do Thursday. But this is urgent. We're 36 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2012,HC-1006,2025-07-29,"CALL TRANSCRIPT
Customer: Premier Medical Partners (HC-1006)
Date: 2025-07-29
Duration: 74 minutes
Type: onboarding
Participants: Operations Director (Customer), CSM Team

[00:01:00]
CSM: ""Thanks for making time today. How are things going with the platform?""

[00:01:30]
Operations Director: ""Overall it's going well. The team is getting more comfortable with it. We're up to about 9 of our 11 providers using it daily.""

[00:02:45]
CSM: ""That's great adoption. Any areas where the team is struggling or needs additional training?""

[00:04:30]
CSM: ""I can arrange that.""

[00:05:00]
Operations Director: ""Sounds good. Otherwise no major issues. Talk to you next quarter.""

Call Sentiment: Neutral - stable but no strong enthusiasm
",,False,False,False
CALL-2013,HC-1006,2025-06-23,"CALL TRANSCRIPT
Customer: Premier Medical Partners (HC-1006)
Date: 2025-06-23
Duration: 45 minutes
Type: check-in
Participants: Multiple stakeholders (Customer), CSM Team

[00:02:15]
Multiple stakeholders: ""Look, I'm going to be honest with you. we're spending 2+ extra hours per day on manual data entry. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Multiple stakeholders: ""It's been about 3 weeks now. And here's the thing - we're paying you $4,343 per month specifically because you promised workflow efficiency. That was the whole selling point.""

[00:05:20]
Multiple stakeholders: ""I had a demo from eClinicalWorks last week. They showed me their Epic connector and it looked more stable. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Wednesday?""

[00:08:30]
Multiple stakeholders: ""I can do Thursday. But this is urgent. We're 84 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2014,HC-1007,2025-08-10,"CALL TRANSCRIPT
Customer: Integrated Care Associates (HC-1007)
Date: 2025-08-10
Duration: 86 minutes
Type: expansion
Participants: Billing Manager (Customer), CSM Team

[00:02:15]
Billing Manager: ""Look, I'm going to be honest with you. the scheduling conflicts are causing patient complaints. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Billing Manager: ""It's been about 3 weeks now. And here's the thing - we're paying you $12,629 per month specifically because you promised reduced admin burden. That was the whole selling point.""

[00:05:20]
Billing Manager: ""I had a demo from NextGen last week. Their workflow actually matches how specialists work. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Tuesday?""

[00:08:30]
Billing Manager: ""That works. But this is urgent. We're 32 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2015,HC-1007,2024-11-23,"CALL TRANSCRIPT
Customer: Integrated Care Associates (HC-1007)
Date: 2024-11-23
Duration: 72 minutes
Type: check-in
Participants: Practice Manager (Customer), CSM Team

[00:01:30]
Practice Manager: ""I wanted to share some good news - we reduced our no-show rate from 18% to 8%. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Practice Manager: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Practice Manager: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Practice Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2016,HC-1008,2024-02-17,"CALL TRANSCRIPT
Customer: Community Medical System (HC-1008)
Date: 2024-02-17
Duration: 18 minutes
Type: renewal
Participants: Practice Manager (Customer), CSM Team

[00:01:30]
Practice Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Practice Manager: ""Honestly, once we got past the initial learning curve, the automated reminders has been a game-changer. Patients are commenting on how easy it is.""

[00:04:30]
Practice Manager: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Practice Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2017,HC-1008,2024-06-24,"CALL TRANSCRIPT
Customer: Community Medical System (HC-1008)
Date: 2024-06-24
Duration: 36 minutes
Type: support_escalation
Participants: Multiple stakeholders (Customer), CSM Team

[00:01:30]
Multiple stakeholders: ""I wanted to share some good news - patient satisfaction scores have improved by 15 points. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Multiple stakeholders: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Multiple stakeholders: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Multiple stakeholders: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2018,HC-1009,2024-08-30,"CALL TRANSCRIPT
Customer: Integrated Care System (HC-1009)
Date: 2024-08-30
Duration: 17 minutes
Type: support_escalation
Participants: Operations Director (Customer), CSM Team

[00:01:30]
Operations Director: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Operations Director: ""Honestly, once we got past the initial learning curve, the automated reminders has been a game-changer. Our providers are actually using it daily.""

[00:04:30]
Operations Director: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional 25% improvement in coordination.""

[00:07:00]
Operations Director: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2019,HC-1009,2025-08-12,"CALL TRANSCRIPT
Customer: Integrated Care System (HC-1009)
Date: 2025-08-12
Duration: 61 minutes
Type: onboarding
Participants: Operations Director (Customer), CSM Team

[00:01:00]
CSM: ""Thanks for making time today. How are things going with the platform?""

[00:01:30]
Operations Director: ""Overall it's going well. The team is getting more comfortable with it. We're up to about 44 of our 72 providers using it daily.""

[00:02:45]
CSM: ""That's great adoption. Any areas where the team is struggling or needs additional training?""

[00:04:30]
CSM: ""I can arrange that.""

[00:05:00]
Operations Director: ""Sounds good. Otherwise no major issues. Talk to you next quarter.""

Call Sentiment: Neutral - stable but no strong enthusiasm
",,False,False,False
CALL-2020,HC-1010,2025-02-16,"CALL TRANSCRIPT
Customer: Community Care Center (HC-1010)
Date: 2025-02-16
Duration: 52 minutes
Type: onboarding
Participants: Multiple stakeholders (Customer), CSM Team

[00:01:30]
Multiple stakeholders: ""I wanted to share some good news - we reduced our no-show rate from 18% to 8%. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Multiple stakeholders: ""Honestly, once we got past the initial learning curve, the integration with Epic has been a game-changer. Our providers are actually using it daily.""

[00:04:30]
Multiple stakeholders: ""Actually, I wanted to ask about advanced analytics. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Multiple stakeholders: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2021,HC-1010,2024-12-11,"CALL TRANSCRIPT
Customer: Community Care Center (HC-1010)
Date: 2024-12-11
Duration: 47 minutes
Type: onboarding
Participants: Billing Manager (Customer), CSM Team

[00:01:30]
Billing Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Billing Manager: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. Patients are commenting on how easy it is.""

[00:04:30]
Billing Manager: ""Actually, I wanted to ask about advanced analytics. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Billing Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2022,HC-1011,2025-03-01,"CALL TRANSCRIPT
Customer: Community Health System (HC-1011)
Date: 2025-03-01
Duration: 62 minutes
Type: renewal
Participants: Operations Director (Customer), CSM Team

[00:01:30]
Operations Director: ""I wanted to share some good news - patient satisfaction scores have improved by 15 points. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Operations Director: ""Honestly, once we got past the initial learning curve, the mobile app has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Operations Director: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Operations Director: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2023,HC-1011,2025-07-23,"CALL TRANSCRIPT
Customer: Community Health System (HC-1011)
Date: 2025-07-23
Duration: 40 minutes
Type: renewal
Participants: Practice Manager (Customer), CSM Team

[00:01:30]
Practice Manager: ""I wanted to share some good news - we reduced our no-show rate from 18% to 8%. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Practice Manager: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. Patients are commenting on how easy it is.""

[00:04:30]
Practice Manager: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Practice Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2024,HC-1012,2025-04-10,"CALL TRANSCRIPT
Customer: Premier Health Center (HC-1012)
Date: 2025-04-10
Duration: 52 minutes
Type: expansion
Participants: Practice Manager (Customer), CSM Team

[00:02:15]
Practice Manager: ""Look, I'm going to be honest with you. the scheduling conflicts are causing patient complaints. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Practice Manager: ""It's been about 2 weeks now. And here's the thing - we're paying you $5,206 per month specifically because you promised seamless integration. That was the whole selling point.""

[00:05:20]
Practice Manager: ""I had a demo from NextGen last week. Their workflow actually matches how specialists work. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Saturday?""

[00:08:30]
Practice Manager: ""Wednesday works. But this is urgent. We're 35 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2025,HC-1012,2025-09-24,"CALL TRANSCRIPT
Customer: Premier Health Center (HC-1012)
Date: 2025-09-24
Duration: 24 minutes
Type: onboarding
Participants: CMO (Customer), CSM Team

[00:01:30]
CMO: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
CMO: ""Honestly, once we got past the initial learning curve, the mobile app has been a game-changer. The billing team loves the workflow.""

[00:04:30]
CMO: ""Actually, I wanted to ask about advanced analytics. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
CMO: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2026,HC-1013,2024-01-11,"CALL TRANSCRIPT
Customer: Premier Care Group (HC-1013)
Date: 2024-01-11
Duration: 56 minutes
Type: check-in
Participants: Operations Director (Customer), CSM Team

[00:01:30]
Operations Director: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Operations Director: ""Honestly, once we got past the initial learning curve, the automated reminders has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Operations Director: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional 15-20% efficiency gains.""

[00:07:00]
Operations Director: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
