insight_id,customer_id,generated_date,insight_type,risk_score,primary_issue,recommended_actions,actions_taken,outcome_status,health_score_before,health_score_after,health_score_change,churn_prevented,expansion_occurred,expansion_arr,mrr_retained,customer_feedback,learnings
INS-5010,HC-1041,2025-08-14,churn_risk,45,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-14""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-27""}]",unresolved,55,49,-6,False,False,0.0,5553,Unfortunately decided to move to competitor,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5011,HC-1042,2025-08-27,churn_risk,45,prescription_workflow,"[""Executive escalation call"", ""Resolve prescription workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-31""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-21""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-06""}]",resolved,55,100,45,True,True,54688.81319349384,10881,Appreciate the attention. Staying with platform.,"[""Fast response critical for prescription workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5012,HC-1045,2025-09-06,churn_risk,48,reporting_analytics,"[""Executive escalation call"", ""Resolve reporting analytics issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-13""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-18""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-14""}]",resolved,52,83,31,True,False,0.0,22450,Good progress but still monitoring closely.,"[""Fast response critical for reporting analytics issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5013,HC-1047,2025-08-31,churn_risk,51,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-06""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-30""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-28""}]",resolved,49,88,39,True,False,0.0,1228,Good progress but still monitoring closely.,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5014,HC-1050,2025-08-27,churn_risk,42,hipaa_compliance,"[""Executive escalation call"", ""Resolve hipaa compliance issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-16""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-09-02""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-02""}]",resolved,58,87,29,True,True,3242.582969438308,895,Appreciate the attention. Staying with platform.,"[""Fast response critical for hipaa compliance issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5015,HC-1051,2025-08-01,churn_risk,46,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-09""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-11""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-03""}]",resolved,54,81,27,True,False,0.0,643,Good progress but still monitoring closely.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5016,HC-1053,2025-07-09,churn_risk,51,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-05""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-15""}]",unresolved,49,55,6,False,False,0.0,11801,Unfortunately decided to move to competitor,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5017,HC-1054,2025-08-01,churn_risk,70,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-07""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-09""}]",churned,30,20,-10,False,False,0.0,0,Unfortunately decided to move to competitor,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5018,HC-1056,2025-08-10,churn_risk,48,patient_scheduling,"[""Executive escalation call"", ""Resolve patient scheduling issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-15""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-28""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-10""}]",resolved,52,73,21,True,False,0.0,20485,Good progress but still monitoring closely.,"[""Fast response critical for patient scheduling issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5019,HC-1057,2025-08-24,churn_risk,68,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-21""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-30""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-08""}]",resolved,32,74,42,True,False,0.0,2458,Good progress but still monitoring closely.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5020,HC-1062,2025-08-10,churn_risk,48,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-17""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-19""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-10""}]",resolved,52,93,41,True,True,26335.505051293272,5820,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5021,HC-1063,2025-09-06,churn_risk,70,clinical_documentation,"[""Executive escalation call"", ""Resolve clinical documentation issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-21""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-25""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-01""}]",resolved,30,58,28,True,False,0.0,23222,Good progress but still monitoring closely.,"[""Fast response critical for clinical documentation issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5022,HC-1065,2025-08-22,churn_risk,60,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-25""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-19""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-16""}]",resolved,40,65,25,True,False,0.0,25344,"Too little, too late. Already committed to alternative.","[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5023,HC-1067,2025-08-30,churn_risk,57,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-22""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-09-09""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-30""}]",resolved,43,90,47,True,False,0.0,4646,Good progress but still monitoring closely.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5024,HC-1070,2025-07-29,churn_risk,43,ehr_integration,"[""Executive escalation call"", ""Resolve ehr integration issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-02""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-11""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-10""}]",resolved,57,100,46,True,True,37972.48279127175,7449,Good progress but still monitoring closely.,"[""Fast response critical for ehr integration issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5025,HC-1074,2025-08-19,churn_risk,58,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-12""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-04""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-18""}]",resolved,42,83,41,True,True,51166.04752488471,13472,Good progress but still monitoring closely.,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5026,HC-1078,2025-08-17,churn_risk,47,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-07""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-27""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-04""}]",resolved,53,100,48,True,False,0.0,5069,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5027,HC-1081,2025-08-22,churn_risk,70,claims_management,"[""Executive escalation call"", ""Resolve claims management issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-27""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-29""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-31""}]",resolved,30,79,49,True,False,0.0,4096,"Too little, too late. Already committed to alternative.","[""Fast response critical for claims management issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5028,HC-1082,2025-08-12,churn_risk,42,claims_management,"[""Executive escalation call"", ""Resolve claims management issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-16""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-21""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-04""}]",resolved,58,96,38,True,False,0.0,4507,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for claims management issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5029,HC-1086,2025-07-24,churn_risk,70,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-08""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-24""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-09""}]",resolved,30,55,25,True,True,135912.762451743,37700,Good progress but still monitoring closely.,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5030,HC-1088,2025-08-21,churn_risk,58,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-15""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-16""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-29""}]",resolved,42,65,23,True,True,11074.130006261421,2539,Good progress but still monitoring closely.,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5031,HC-1089,2025-09-04,churn_risk,50,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-27""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-11""}]",unresolved,50,43,-7,False,False,0.0,58336,Unfortunately decided to move to competitor,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5032,HC-1090,2025-08-17,churn_risk,52,claims_management,"[""Executive escalation call"", ""Resolve claims management issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-19""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-01""}]",unresolved,48,47,-1,False,False,0.0,2469,Unfortunately decided to move to competitor,"[""Fast response critical for claims management issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5033,HC-1092,2025-07-21,churn_risk,56,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-14""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-08""}]",unresolved,44,49,5,False,False,0.0,12577,Unfortunately decided to move to competitor,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5034,HC-1096,2025-07-23,churn_risk,59,insurance_verification,"[""Executive escalation call"", ""Resolve insurance verification issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-26""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-09-02""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-07""}]",resolved,41,79,38,True,False,0.0,1450,Good progress but still monitoring closely.,"[""Fast response critical for insurance verification issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5035,HC-1100,2025-08-16,churn_risk,49,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-11""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-22""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-27""}]",resolved,51,84,33,True,False,0.0,2139,"Too little, too late. Already committed to alternative.","[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5036,HC-1109,2025-07-17,churn_risk,70,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-26""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-21""}]",churned,30,20,-10,False,False,0.0,0,Unfortunately decided to move to competitor,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5037,HC-1112,2025-08-29,churn_risk,47,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-04""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-11""}]",unresolved,53,58,5,False,False,0.0,12970,Unfortunately decided to move to competitor,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5038,HC-1113,2025-09-06,churn_risk,54,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-10""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-30""}]",unresolved,46,53,7,False,False,0.0,22327,Unfortunately decided to move to competitor,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5039,HC-1116,2025-07-24,churn_risk,51,hipaa_compliance,"[""Executive escalation call"", ""Resolve hipaa compliance issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-05""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-26""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-26""}]",resolved,49,76,27,True,False,0.0,22771,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for hipaa compliance issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5040,HC-1119,2025-07-10,churn_risk,44,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-14""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-13""}]",unresolved,56,51,-5,False,False,0.0,540,Unfortunately decided to move to competitor,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5041,HC-1121,2025-08-19,churn_risk,59,claims_management,"[""Executive escalation call"", ""Resolve claims management issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-15""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-18""}]",unresolved,41,35,-6,False,False,0.0,3469,Unfortunately decided to move to competitor,"[""Fast response critical for claims management issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5042,HC-1124,2025-07-11,churn_risk,52,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-30""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-20""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-14""}]",resolved,48,82,34,True,False,0.0,5153,Good progress but still monitoring closely.,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5043,HC-1127,2025-08-29,churn_risk,55,reporting_analytics,"[""Executive escalation call"", ""Resolve reporting analytics issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-20""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-31""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-16""}]",resolved,45,94,49,True,False,0.0,2250,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for reporting analytics issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5044,HC-1128,2025-08-09,churn_risk,51,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-12""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-29""}]",unresolved,49,47,-2,False,False,0.0,6157,Unfortunately decided to move to competitor,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5045,HC-1129,2025-08-09,churn_risk,52,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-15""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-04""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-05""}]",resolved,48,82,34,True,False,0.0,4930,"Too little, too late. Already committed to alternative.","[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
