customer_id,date,appointments_created,appointments_cancelled,no_shows,reminders_sent,online_bookings,claims_submitted,claims_approved,claims_denied,claim_denial_rate,ehr_sync_attempts,ehr_sync_failures,ehr_data_synced_mb,portal_active_patients,portal_logins,portal_messages,portal_adoption_rate,active_users,licensed_users,utilization_rate,total_sessions,avg_session_duration_min,total_errors,critical_errors,workflows_completed,workflows_abandoned
HC-1000,2025-07-18,44,4,3,47,8,38,22,6,0.20813472887164375,8,0,118,236,149,6,0.3862908740966909,3,8,0.428749368537771,2,31,2,0,56,2
HC-1000,2025-07-19,40,2,1,31,10,40,22,4,0.18422426969996286,8,0,193,343,207,12,0.29520736713881945,7,8,0.629380139773472,2,28,2,0,30,1
HC-1000,2025-07-20,40,4,3,31,8,38,22,5,0.09398429701640859,8,0,187,133,74,10,0.3549761786973087,3,8,0.7039589777938227,2,28,2,0,42,2
HC-1000,2025-07-21,50,4,1,49,6,24,28,3,0.213870696811562,8,0,193,156,107,8,0.2999862956639568,6,8,0.6310024479353769,2,36,2,0,46,2
HC-1000,2025-07-22,34,4,3,29,6,30,36,4,0.15954183188803828,8,0,100,385,218,12,0.26433089947562155,5,8,0.7753398631197024,2,15,2,0,26,2
HC-1000,2025-07-23,72,9,3,61,9,30,24,6,0.15599197787283647,12,1,430,279,186,21,0.41328840387895405,3,8,0.6538187697856858,3,28,3,0,48,3
HC-1000,2025-07-24,63,9,2,49,9,36,33,5,0.23256585298349336,12,1,327,203,214,18,0.40287984105637686,5,8,0.5873488192093002,3,29,3,0,57,1
HC-1000,2025-07-25,60,6,2,61,15,57,36,8,0.09865982000178337,12,1,322,162,122,21,0.23814350046321275,4,8,0.5566259931048505,3,33,3,0,51,2
HC-1000,2025-07-26,30,4,2,35,10,30,24,4,0.11562833243774041,8,0,142,91,55,16,0.3581551158641312,5,8,0.5975693136786199,2,23,2,0,42,2
HC-1000,2025-07-27,34,2,3,35,4,20,18,3,0.1656998220042647,8,0,196,196,218,8,0.10932976787042195,6,8,0.47310782519558503,2,18,2,0,46,2
HC-1000,2025-07-28,60,9,1,58,9,39,42,10,0.17375366602007639,12,1,383,389,58,24,0.3596707622416302,6,8,0.8343710066799537,3,28,3,0,60,3
HC-1000,2025-07-29,57,9,3,67,9,42,39,7,0.2235976363944976,12,1,441,334,52,6,0.25629280542326205,6,8,0.6013744213588674,3,37,3,0,36,1
HC-1000,2025-07-30,40,6,2,47,8,34,28,7,0.12005527363076521,8,0,246,270,89,14,0.08708820613614147,6,8,0.4141854433779408,2,44,2,0,44,2
HC-1000,2025-07-31,48,6,1,41,10,30,16,6,0.14898461278137756,8,0,120,363,85,16,0.3425716187752318,3,8,0.8401839417041901,2,25,2,0,22,1
HC-1000,2025-08-01,42,4,3,33,10,26,36,5,0.19024389222585555,8,0,197,311,148,6,0.12616128955977932,5,8,0.5878954396031351,2,32,2,0,54,1
HC-1000,2025-08-02,46,6,2,47,6,30,20,3,0.19412864716019396,8,0,266,246,92,10,0.232041633561347,6,8,0.4989569908121381,2,36,2,0,30,2
HC-1000,2025-08-03,38,2,3,35,8,28,26,6,0.1247253522502299,8,0,147,178,82,10,0.29922224563003286,5,8,0.4806909305664513,2,43,2,0,48,1
HC-1000,2025-08-04,48,4,1,45,6,38,22,4,0.13164066623243867,8,0,269,155,70,10,0.1795176146999022,4,8,0.528608245466441,2,38,2,0,36,2
HC-1000,2025-08-05,66,9,2,47,12,48,33,6,0.13724837197310713,12,1,291,344,160,12,0.24596349486503488,6,8,0.6382021993223504,3,19,3,0,90,4
HC-1000,2025-08-06,75,6,4,47,15,54,48,7,0.22765771836897652,12,1,334,352,192,18,0.49329868818456235,4,8,0.6879572917733834,3,35,3,0,78,4
HC-1000,2025-08-07,48,6,3,41,6,34,26,3,0.24065899713090005,8,0,226,116,111,4,0.29140976446199723,7,8,0.9418315148100249,2,43,2,0,24,1
HC-1000,2025-08-08,32,4,1,43,10,30,22,6,0.09858446623445477,8,0,243,300,205,10,0.27518399289228007,6,8,0.6509474760677391,2,29,2,0,58,2
HC-1000,2025-08-09,63,6,3,73,15,54,30,6,0.16199523699226412,12,1,427,360,106,9,0.33775366991698136,4,8,0.5121801418164168,3,31,3,0,48,1
HC-1000,2025-08-10,30,6,1,29,4,20,28,5,0.17982257510702648,8,0,207,120,75,6,0.44829248129096416,7,8,0.6780992214896284,2,27,2,0,40,2
HC-1000,2025-08-11,45,3,5,44,9,36,39,9,0.14001911090829908,12,1,405,378,192,6,0.20216500359850592,5,8,0.7736534842105028,3,17,3,0,72,3
HC-1000,2025-08-12,57,6,3,73,15,54,45,10,0.14661774609922198,12,1,346,145,187,18,0.3100815372829798,4,8,0.7487926571301959,3,20,3,0,72,3
HC-1000,2025-08-13,46,6,2,39,4,20,32,6,0.09694150450848299,8,0,271,248,132,4,0.14458445853251828,7,8,0.4345562750440097,2,29,2,0,40,1
HC-1000,2025-08-14,63,6,3,73,6,39,30,6,0.08171899474941302,12,1,293,321,133,9,0.21131098627803724,5,8,0.7298879912325801,3,45,3,0,90,1
HC-1000,2025-08-15,75,9,3,73,9,36,24,5,0.13015861107033616,12,1,283,226,59,15,0.16901441622958752,6,8,0.71916563045066,3,27,3,0,54,1
HC-1000,2025-08-16,40,4,3,41,4,36,36,3,0.21436207419023956,8,0,282,156,183,10,0.33042818256975914,4,8,0.9078189607185899,2,19,2,0,22,2
HC-1000,2025-08-17,57,9,3,64,9,54,45,7,0.16830583298105514,12,1,351,288,218,24,0.15342176463368623,7,8,0.6512581706511342,3,32,3,0,51,2
HC-1000,2025-08-18,46,6,1,43,8,32,34,6,0.13057223706062798,8,0,186,285,179,12,0.3991124710164031,5,8,0.8794531816763955,2,33,2,0,36,2
HC-1000,2025-08-19,63,9,1,67,9,45,33,10,0.16150986591122884,12,1,369,245,85,18,0.28992354542024656,3,8,0.7070727522867102,3,27,3,0,33,3
HC-1000,2025-08-20,72,9,1,64,15,33,33,8,0.1152935354786565,12,1,150,185,227,15,0.382074690644405,6,8,0.7805575262494301,3,15,3,0,81,2
HC-1000,2025-08-21,36,6,3,41,4,28,20,3,0.22461514221647388,8,0,139,126,196,16,0.3131319268164223,6,8,0.9404435179556294,2,29,2,0,20,2
HC-1000,2025-08-22,51,6,1,55,15,48,36,8,0.175441842453663,12,1,401,282,162,18,0.13909647631722125,3,8,0.46943421293182525,3,19,3,0,42,2
HC-1000,2025-08-23,75,3,3,44,12,57,48,8,0.09609058732483984,12,1,201,382,95,15,0.17777015276720032,3,8,0.4723125015834461,3,39,3,0,60,1
HC-1000,2025-08-24,72,4,3,74,16,44,44,11,0.12010568708591032,16,1,495,305,109,28,0.14839457943369017,5,8,0.5782365723416691,4,24,4,0,68,4
HC-1000,2025-08-25,66,9,4,61,9,33,36,8,0.09583908290672108,12,1,408,358,189,9,0.4547957872262872,6,8,0.4916478431871899,3,44,3,0,63,3
HC-1000,2025-08-26,51,3,4,44,9,45,36,7,0.14406302025460951,12,1,222,287,94,12,0.23332833841602857,7,8,0.8662360961783504,3,35,3,0,90,1
HC-1000,2025-08-27,60,6,3,55,12,39,51,6,0.23987011623915483,12,1,361,108,93,6,0.36392542889016916,4,8,0.9387286335977661,3,38,3,0,84,1
HC-1000,2025-08-28,66,3,2,58,15,36,27,7,0.1951297544137526,12,1,261,309,111,18,0.13709148067279378,7,8,0.7955208309112618,3,44,3,0,90,3
HC-1000,2025-08-29,64,12,3,66,12,60,52,12,0.09531099326984883,16,1,242,286,131,24,0.46154608765825944,5,8,0.9111202580945036,4,44,4,0,64,5
HC-1000,2025-08-30,60,4,5,98,8,48,64,10,0.16846232483746615,16,1,295,183,200,16,0.2827667946601401,6,8,0.854310912711111,4,19,4,0,92,5
HC-1000,2025-08-31,60,6,3,61,6,33,42,7,0.18012635353693063,12,1,388,194,190,21,0.47181568281647873,6,8,0.6906254067066177,3,36,3,0,39,3
HC-1000,2025-09-01,60,8,7,62,16,64,72,10,0.24281197469462928,16,1,546,363,220,32,0.08491927413781132,5,8,0.5093603028542226,4,39,4,0,48,5
HC-1000,2025-09-02,54,6,5,58,6,39,33,8,0.12880384653881,12,1,186,385,113,24,0.36749356921494963,7,8,0.7194269280440045,3,24,3,0,69,4
HC-1000,2025-09-03,96,12,5,82,12,40,44,7,0.16365428623776015,16,1,284,248,48,32,0.44158901498105796,4,8,0.8094178549318138,4,38,4,0,72,2
HC-1000,2025-09-04,72,4,3,86,12,68,36,14,0.18375034718330896,16,1,417,234,161,20,0.46615673807391794,3,8,0.5387751046401685,4,21,4,0,44,5
HC-1000,2025-09-05,60,9,3,73,9,39,48,10,0.1095897107722662,12,1,245,198,216,9,0.44924817145820606,6,8,0.6490191661499792,3,32,3,0,69,3
HC-1000,2025-09-06,51,3,3,64,12,57,39,9,0.0902741727674365,12,1,156,400,74,6,0.10698923546490463,7,8,0.8693053918509908,3,36,3,0,48,3
HC-1000,2025-09-07,68,8,7,98,8,40,36,11,0.20045661079301869,16,1,285,259,95,24,0.2038268330648826,4,8,0.8215225897240898,4,42,4,0,96,5
HC-1000,2025-09-08,68,12,4,86,8,56,68,14,0.0971239571559329,16,1,388,222,49,28,0.4004586759753462,4,8,0.6047326622051584,4,34,4,0,112,5
HC-1000,2025-09-09,100,4,3,70,16,76,72,6,0.17144488103787392,16,1,217,247,68,28,0.3007955617621087,5,8,0.6520438444199139,4,38,4,0,116,2
HC-1000,2025-09-10,92,12,2,62,16,72,32,13,0.18483495485022156,16,1,515,395,95,12,0.1884861756048433,5,8,0.40607660789143585,4,17,4,0,64,4
HC-1000,2025-09-11,60,4,3,90,8,80,48,8,0.19677751397337395,16,1,580,132,226,12,0.28388739628764487,7,8,0.5237922939545702,4,36,4,0,88,2
HC-1000,2025-09-12,96,8,4,86,12,76,44,10,0.21679569397799003,16,1,305,222,49,24,0.4685321498331087,3,8,0.6145878050326273,4,16,4,0,60,2
HC-1000,2025-09-13,69,6,4,44,12,42,24,6,0.15734628943928586,12,1,162,256,226,21,0.37063771383564154,4,8,0.5112119758194094,3,39,3,0,63,2
HC-1000,2025-09-14,88,12,2,86,20,48,48,14,0.1427152098119764,16,1,212,362,219,20,0.13011470706819228,4,8,0.9164326839158685,4,26,4,0,80,5
HC-1000,2025-09-15,54,9,5,61,12,54,54,6,0.11283239924730623,12,1,434,377,97,15,0.23791600250130912,5,8,0.45755600143750874,3,39,3,0,48,3
HC-1000,2025-09-16,92,4,2,58,16,80,48,14,0.13203517939694953,16,1,213,326,91,16,0.3031103902479902,4,8,0.7671819980497686,4,20,4,0,100,2
HC-1000,2025-09-17,45,6,2,73,15,51,30,5,0.1412610813266047,12,1,424,230,132,9,0.43292328293822435,5,8,0.44168521650582643,3,16,3,0,54,2
HC-1000,2025-09-18,60,12,3,98,16,68,44,9,0.1469615930723827,16,1,336,229,177,8,0.23588588919919612,6,8,0.6264554299412344,4,16,4,0,104,4
HC-1000,2025-09-19,96,12,4,90,20,40,40,12,0.12873481386645633,16,1,477,255,138,12,0.464651224043305,7,8,0.7576817762786603,4,25,4,0,76,4
HC-1000,2025-09-20,48,6,5,52,12,42,51,10,0.19328348279979585,12,1,203,262,202,15,0.3446285371543799,5,8,0.6860657271243666,3,20,3,0,69,3
HC-1000,2025-09-21,92,4,6,74,16,60,48,9,0.0917334371230329,16,1,301,202,141,12,0.12019430042695176,3,8,0.8046648467397848,4,16,4,0,44,4
HC-1000,2025-09-22,96,8,3,78,12,76,48,8,0.14242503502721082,16,1,211,360,79,8,0.19857686492999135,4,8,0.437038025044201,4,35,4,0,64,3
HC-1000,2025-09-23,100,8,6,94,12,40,64,9,0.11492560308247465,16,1,255,156,120,32,0.23048940709583898,5,8,0.6436659640473106,4,41,4,0,64,4
HC-1000,2025-09-24,60,4,5,82,8,48,68,7,0.13235846603090007,16,1,297,148,117,20,0.3493723864418941,3,8,0.7015211442853166,4,40,4,0,44,3
HC-1000,2025-09-25,72,9,4,70,9,51,45,10,0.08688819905717317,12,1,357,258,57,15,0.48687067630185904,6,8,0.9156496697571972,3,42,3,0,75,2
HC-1000,2025-09-26,100,12,2,94,12,80,32,9,0.15957769265408073,16,1,290,350,118,8,0.49004966063934646,6,8,0.552280315657191,4,17,4,0,56,5
HC-1000,2025-09-27,96,4,5,66,8,80,64,7,0.19424581218249176,16,1,427,364,98,16,0.2915856050033701,6,8,0.47099016324216025,4,26,4,0,60,5
HC-1000,2025-09-28,110,10,3,78,15,50,40,9,0.1115502010357197,20,2,490,317,122,10,0.25283149954701084,3,8,0.940566971004612,5,42,6,1,150,7
HC-1000,2025-09-29,72,6,5,67,15,33,39,5,0.22454902885239486,12,1,256,406,223,12,0.41260484358861454,4,8,0.5059382168804218,3,30,3,0,87,3
HC-1000,2025-09-30,64,12,5,66,20,56,36,6,0.16049403855680602,16,1,566,410,117,24,0.44462670917262825,3,8,0.5497084521538868,4,15,4,0,116,3
HC-1000,2025-10-01,80,8,2,78,16,72,56,13,0.09022218096745528,16,1,552,395,84,8,0.13441812277910734,4,8,0.7276052647644113,4,36,4,0,48,2
HC-1000,2025-10-02,76,12,2,82,8,60,44,12,0.19251902590522244,16,1,356,209,125,32,0.13222261811299457,5,8,0.6686936632780673,4,32,4,0,44,2
HC-1000,2025-10-03,120,15,9,112,10,95,50,13,0.23691341180464148,20,2,622,230,209,15,0.3311617355397023,6,8,0.7309589275471662,5,40,6,1,90,6
HC-1000,2025-10-04,115,5,6,88,10,50,85,16,0.16454623013733327,20,2,575,121,204,40,0.35671596310070397,7,8,0.47813955904304556,5,29,6,1,90,6
HC-1000,2025-10-05,80,10,8,73,10,85,65,15,0.13811968972639627,20,2,311,219,140,20,0.4594124485687796,3,8,0.7793300156516484,5,17,6,1,135,6
HC-1001,2025-07-08,2360,236,66,2659,472,2006,1534,253,0.1951996487398016,472,0,13707,12389,20791,944,0.16456862542260725,311,422,0.6210199255924091,118,29,141,28,1416,78
HC-1001,2025-07-09,2730,130,250,2548,520,1430,1430,474,0.23587108432287374,520,0,9752,21344,11248,1040,0.48975333036235313,260,422,0.8881278821262524,130,22,156,31,1560,157
HC-1001,2025-07-10,2940,140,129,2881,560,2240,1960,321,0.09502369257493723,560,0,16086,37827,14079,840,0.26533981514331856,234,422,0.7651169254459464,140,26,168,33,3220,77
HC-1001,2025-07-11,1665,222,144,2066,555,1443,1887,251,0.13744675540123408,444,0,11738,28011,21392,888,0.3023462082624817,174,422,0.5777522332009462,111,31,133,26,2109,73
HC-1001,2025-07-12,2640,396,155,2587,528,2376,1716,374,0.12547725873400128,528,0,13804,24916,9505,264,0.11778378037968763,338,422,0.5058281662297259,132,39,158,31,1848,76
HC-1001,2025-07-13,3325,133,248,2085,399,1596,1995,485,0.20617843924434864,532,0,9134,29939,9578,798,0.2297234619741258,286,422,0.8627393248424626,133,39,159,31,1995,90
HC-1001,2025-07-14,2260,226,151,2768,565,1921,1808,382,0.1355011881375506,452,0,12761,19831,13173,452,0.1815866098610979,349,422,0.6420375563299413,113,34,135,27,2034,67
HC-1001,2025-07-15,1870,220,205,1724,440,1320,1980,217,0.22564738075509372,440,0,5610,25421,12005,660,0.20977639945310622,288,422,0.524267897939571,110,33,132,26,1980,65
HC-1001,2025-07-16,3795,165,139,3719,330,2475,2805,387,0.1769211622483268,660,0,22079,16537,16325,990,0.3923687334668087,326,422,0.47356996814024,165,21,198,39,4950,195
HC-1001,2025-07-17,2772,396,103,2845,264,1980,2376,464,0.2342413407309148,528,0,18722,33499,9900,264,0.35572292183510856,189,422,0.44361194353969924,132,24,158,31,3168,173
HC-1001,2025-07-18,2829,369,165,2290,369,1845,1968,196,0.15213503628556602,492,0,17937,12761,18938,369,0.4334531903475328,237,422,0.8555620114939717,123,41,147,29,2214,165
HC-1001,2025-07-19,2788,164,274,3053,656,2788,2460,606,0.18006406624610494,656,0,21601,28477,7115,656,0.13066796856054141,367,422,0.6332031887558152,164,38,196,39,4428,156
HC-1001,2025-07-20,2420,363,214,1778,242,1452,2178,327,0.16122290508601905,484,0,17841,14142,5035,363,0.3949567500868122,320,422,0.6753115551207753,121,37,145,29,2299,149
HC-1001,2025-07-21,2967,258,95,2907,258,2064,1677,279,0.24745764476593574,516,0,16318,37657,9563,387,0.3706838135861479,168,422,0.4596437689897837,129,23,154,30,3870,86
HC-1001,2025-07-22,2604,372,80,1944,372,1860,1860,202,0.17818068771752282,496,0,16172,16047,14049,372,0.47400419280470263,234,422,0.497733146558473,124,28,148,29,1364,117
HC-1001,2025-07-23,3480,174,313,3751,348,2436,1392,404,0.18666644108476105,696,0,21206,9195,6671,1044,0.3574486802847915,382,422,0.9142082925751475,174,45,208,41,2436,155
HC-1001,2025-07-24,3612,172,234,4214,516,3268,2408,484,0.12711620941889357,688,0,24233,28217,11155,344,0.4145483817482157,222,422,0.47077398903893014,172,22,206,41,1892,128
HC-1001,2025-07-25,3036,132,203,2069,660,1848,1848,389,0.10893041625397921,528,0,18303,37950,11380,792,0.4355858662410974,255,422,0.8559925807258445,132,22,158,31,1716,88
HC-1001,2025-07-26,3456,432,129,3528,576,2448,1872,479,0.12442186996252899,576,0,16770,8980,5671,720,0.3531581689120827,269,422,0.72055599320919,144,37,172,34,3024,179
HC-1001,2025-07-27,3440,344,129,2528,344,2408,2580,638,0.14858248351111691,688,0,25512,9195,19349,1204,0.3275047734298421,283,422,0.7132350346708967,172,17,206,41,2236,242
HC-1001,2025-07-28,2685,537,256,2982,358,3043,1969,467,0.13297187093609086,716,0,19361,26373,18015,537,0.46570695623607444,247,422,0.8737367303989152,179,28,214,42,2148,161
HC-1001,2025-07-29,3925,157,182,3538,785,2826,1413,303,0.1519774224110183,628,0,16869,32685,17855,471,0.3105405228101627,301,422,0.6653583986652262,157,30,188,37,3611,133
HC-1001,2025-07-30,4048,368,267,3606,736,1840,1656,535,0.10494378541941307,736,0,10261,20861,17297,1288,0.16653644846939852,396,422,0.8143564256788218,184,36,220,44,2944,141
HC-1001,2025-07-31,2272,142,226,3061,568,2130,1988,347,0.17798225123158576,568,0,10831,30612,9253,994,0.46817298052580214,169,422,0.5368763310243296,142,42,170,34,1420,123
HC-1001,2025-08-01,3192,504,201,3292,336,2520,2184,563,0.19803125432152424,672,0,12361,20487,11682,1344,0.48070773711880255,370,422,0.9436344804218267,168,42,201,40,3696,98
HC-1001,2025-08-02,2916,486,187,3492,324,2430,1944,290,0.11528590602763295,648,0,16502,31018,8222,972,0.13672867818375334,325,422,0.8754558484161364,162,24,194,38,2268,171
HC-1001,2025-08-03,3077,543,155,4434,362,3077,2534,420,0.21069284796555493,724,0,22654,16779,16655,1086,0.2815240023226227,346,422,0.4766352103336552,181,36,217,43,3439,190
HC-1001,2025-08-04,4485,195,245,3248,780,3120,3315,395,0.10120501638674329,780,0,10302,19606,20287,780,0.13103928832431067,224,422,0.4999092033531454,195,31,234,46,2925,214
HC-1001,2025-08-05,3243,423,145,3454,282,2679,1974,492,0.1259896751981101,564,0,15372,13531,19480,564,0.49905683025119685,330,422,0.45769802059283465,141,21,169,33,1410,119
HC-1001,2025-08-06,2592,486,195,3016,486,3240,2916,424,0.09940916714007542,648,0,10818,17694,18807,486,0.1725013533984159,190,422,0.6442234767772953,162,15,194,38,3078,160
HC-1001,2025-08-07,3097,326,102,2715,326,2934,1630,496,0.15915600789919204,652,0,17615,23236,14584,652,0.18727542443364256,373,422,0.7621751227394801,163,26,195,39,1630,186
HC-1001,2025-08-08,3582,199,187,3315,398,3383,3383,584,0.15651533354046857,796,0,25776,31648,11066,1592,0.20255918266628492,396,422,0.6255062043080961,199,30,238,47,1990,139
HC-1001,2025-08-09,3030,202,164,2969,808,3232,2626,328,0.1112507520344836,808,0,23655,31212,13880,606,0.4589890851997192,354,422,0.5060018157872266,202,17,242,48,3636,154
HC-1001,2025-08-10,3841,334,160,2618,668,2839,2672,290,0.10779575525246814,668,0,21247,25787,17303,334,0.20042395035519334,202,422,0.8588586763340048,167,39,200,40,3841,135
HC-1001,2025-08-11,4221,603,353,3939,402,3015,2010,742,0.0874201988072564,804,0,20083,16194,4796,1206,0.4394917664049516,341,422,0.9343184634773315,201,31,241,48,4824,232
HC-1001,2025-08-12,3634,158,138,3871,790,1580,1264,285,0.19495476774159934,632,0,13761,20770,9122,316,0.18717702815414866,198,422,0.8972630020108261,158,26,189,37,2686,150
HC-1001,2025-08-13,3474,386,266,3593,386,2123,3088,612,0.12732958813323286,772,0,28350,11154,6415,1158,0.3029805141958811,239,422,0.758548109838542,193,38,231,46,5597,256
HC-1001,2025-08-14,3266,426,153,3479,284,2840,1420,350,0.1555081298092264,568,0,19814,24965,8689,568,0.1910434051433209,350,422,0.48067507318171687,142,31,170,34,1846,120
HC-1001,2025-08-15,2816,176,324,3449,528,2816,2640,492,0.10371861504491292,704,0,13498,32380,15204,352,0.23437351913089632,357,422,0.40212062737996346,176,18,211,42,2288,233
HC-1001,2025-08-16,3700,555,132,3082,370,2405,2960,384,0.09723434258444488,740,0,13996,14212,14622,555,0.3097913927370603,267,422,0.5442807381671161,185,36,222,44,3145,197
HC-1001,2025-08-17,4378,597,217,4680,796,3582,2786,600,0.1809236097601069,796,0,10802,18397,7655,1194,0.34570305693894215,291,422,0.7289548266941863,199,41,238,47,4577,227
HC-1001,2025-08-18,2790,155,269,3645,465,1860,2635,299,0.2154998006333741,620,0,23227,13738,10938,1240,0.40605202815037544,382,422,0.45040424790398464,155,42,185,37,2635,88
HC-1001,2025-08-19,3434,606,186,4553,404,3636,3030,386,0.16676890536814853,808,0,25041,25631,6642,1212,0.23410177951454608,220,422,0.9437114760834917,202,33,242,48,2828,219
HC-1001,2025-08-20,2618,154,161,2716,462,2464,2772,306,0.0872101643131863,616,0,9619,22273,12814,616,0.12744880449936336,386,422,0.40240292896450974,154,28,184,36,2772,89
HC-1001,2025-08-21,3624,453,283,2663,604,1661,1812,290,0.16512934304172072,604,0,14663,33169,13157,906,0.39182076955192713,311,422,0.6179030350287336,151,43,181,36,3020,134
HC-1001,2025-08-22,3135,627,348,3686,627,3553,2508,445,0.228677346190241,836,0,30354,34687,17697,836,0.16280684310034788,196,422,0.4812100214137337,209,32,250,50,2926,265
HC-1001,2025-08-23,2970,396,222,2910,594,3168,1980,549,0.1571977516092497,792,0,22996,18876,9958,1584,0.16199733236043615,209,422,0.7459296031709026,198,39,237,47,4356,148
HC-1001,2025-08-24,4462,194,313,3041,388,2328,1940,403,0.1352428034280766,776,0,24329,26591,18056,1358,0.3833982876106454,387,422,0.8007402197362503,194,28,232,46,3880,120
HC-1001,2025-08-25,4009,633,245,4135,844,2532,2321,531,0.14778522262465393,844,0,22809,27580,4780,1266,0.40504366309650797,261,422,0.565445939219366,211,18,253,50,6119,129
HC-1001,2025-08-26,4300,645,374,5267,860,3655,2365,763,0.2485497659477553,860,0,31354,16473,9704,1290,0.476685659764685,335,422,0.4103484281365905,215,18,258,51,6450,128
HC-1001,2025-08-27,4224,528,108,3794,352,3168,2640,538,0.17388585937407305,704,0,11041,29634,4669,1056,0.1906443168652805,276,422,0.7214651044872655,176,19,211,42,5104,91
HC-1001,2025-08-28,5313,231,409,4527,924,3927,3696,736,0.1431060515080895,924,0,30477,12518,14520,1386,0.4790807986305838,395,422,0.5611542906389182,231,25,277,55,3465,210
HC-1001,2025-08-29,4935,470,398,5757,1175,3525,3290,807,0.19840448784606385,940,0,32488,12053,20751,1175,0.2401435210149805,353,422,0.7980248195361328,235,16,282,56,6345,144
HC-1001,2025-08-30,4296,358,194,4210,358,2864,1432,347,0.24563788496907135,716,0,20508,31631,16011,716,0.1989475962041739,385,422,0.6282227823072691,179,42,214,42,5012,257
HC-1001,2025-08-31,3654,406,219,3978,406,2030,2842,663,0.1651234018108305,812,0,14283,19047,17316,406,0.3655768812166701,358,422,0.5787772453578627,203,42,243,48,4669,240
HC-1001,2025-09-01,5675,681,268,5116,1135,2270,4086,640,0.15033183254164456,908,0,15131,24020,20645,1362,0.31137363248608696,380,422,0.41039600768591616,227,37,272,54,5902,123
HC-1001,2025-09-02,4427,699,130,3881,699,3495,3495,419,0.1604360098400449,932,0,24061,19726,14495,932,0.47308943421553,184,422,0.4483890509682506,233,16,279,55,4194,262
HC-1001,2025-09-03,4263,406,113,4575,1015,3045,2233,484,0.10028869120208686,812,0,29307,11945,17673,406,0.16581758718453793,179,422,0.9102623442822289,203,31,243,48,5278,171
HC-1001,2025-09-04,2640,352,200,3104,704,2288,2816,591,0.1692158182221415,704,0,23764,11875,14185,1408,0.2164536080762211,209,422,0.7309535855071096,176,22,211,42,4048,234
HC-1001,2025-09-05,4179,398,376,4485,398,3781,2587,718,0.19718215886271612,796,0,20707,17687,19657,398,0.2066840079989905,388,422,0.4842399251230063,199,43,238,47,4975,209
HC-1001,2025-09-06,3360,210,318,4527,630,3360,3150,460,0.23034019632075653,840,0,21001,22253,8239,630,0.26494080096517536,352,422,0.5461663014596436,210,44,252,50,5670,243
HC-1001,2025-09-07,5550,666,283,5221,666,2220,2220,413,0.10014466156093751,888,0,14848,9836,12308,1332,0.23215783217335278,201,422,0.7366846459196708,222,26,266,53,5106,154
HC-1001,2025-09-08,4080,480,228,4233,480,2880,3840,542,0.09992322042911281,960,0,19745,35217,8932,480,0.14238519454011017,228,422,0.667784909495736,240,37,288,57,3840,290
HC-1001,2025-09-09,5520,460,414,3831,460,2300,2530,535,0.2273805952771374,920,0,32394,21850,17860,690,0.33934597090636465,265,422,0.4512458038927384,230,21,276,55,5290,237
HC-1001,2025-09-10,3825,510,387,4248,1275,4590,4335,388,0.16733060908557246,1020,0,35833,10936,13946,2040,0.262357934982065,182,422,0.8346406563106513,255,30,306,61,4845,247
