customer_id,organization_name,org_type,specialty,segment,num_providers,num_locations,patients_per_month,mrr,tenure_months,health_score,signup_date,contract_type,ehr_system,ehr_integrated,compliance_certifications,payment_status,champion_title,champion_exists,implementation_status,competing_systems
HC-1012,Premier Health Center,Clinic Network,Multi-specialty,Mid-Market,23,13,2622,5206,26,81,2024-03-11,annual,Athenahealth,False,['HITECH'],current,IT Director,True,training,Using legacy system alongside
HC-1013,Premier Care Group,Urgent Care,Pediatrics,SMB,5,3,1250,2257,39,84,2024-11-15,annual,eClinicalWorks,True,"['State Privacy Laws', 'HITECH', 'Meaningful Use']",current,Practice Manager,True,training,Evaluating alternatives
HC-1014,Advanced Health System,Hospital System,Pediatrics,Enterprise,135,6,22275,37299,42,84,2024-08-13,annual,Epic,True,['HIPAA'],current,Chief Medical Officer,False,live,None
HC-1015,Regional Medical Partners,Private Practice,Multi-specialty,SMB,8,4,1824,2737,27,96,2024-08-07,annual,Athenahealth,True,['Meaningful Use'],current,Chief Medical Officer,True,full_adoption,Considering switch
HC-1016,Regional Health Associates,Clinic Network,Oncology,Mid-Market,71,15,10650,8748,42,83,2025-03-09,monthly,eClinicalWorks,True,"['HIPAA', 'State Privacy Laws']",current,Practice Manager,True,live,Considering switch
HC-1017,Advanced Health Group,Telehealth Provider,Pediatrics,SMB,18,2,2718,7085,12,78,2024-07-13,annual,Athenahealth,True,"['HITECH', 'Meaningful Use']",excellent,Chief Medical Officer,True,configuration,Considering switch
HC-1018,Regional Care System,Clinic Network,Cardiology,Mid-Market,11,1,1683,9737,23,76,2024-02-21,annual,NextGen,True,"['HIPAA', 'Meaningful Use', 'State Privacy Laws']",current,Chief Medical Officer,True,full_adoption,Considering switch
HC-1019,Community Care Center,Specialty Center,Orthopedics,Mid-Market,79,3,22278,9931,11,95,2025-01-23,annual,Epic,False,"['State Privacy Laws', 'HITECH']",current,Director of Operations,False,full_adoption,Considering switch
HC-1020,Community Healthcare Group,Clinic Network,Primary Care,Mid-Market,95,6,23085,6930,33,48,2025-08-16,annual,NextGen,False,"['HIPAA', 'State Privacy Laws', 'HITECH']",current,Practice Manager,True,live,Considering switch
HC-1021,Premier Medical Center,Urgent Care,Cardiology,SMB,4,3,984,6130,20,71,2024-07-09,monthly,Epic,True,"['HIPAA', 'State Privacy Laws', 'Meaningful Use']",current,IT Director,False,live,Evaluating alternatives
HC-1022,Premier Health System,Urgent Care,Cardiology,SMB,2,3,568,2302,25,89,2025-03-05,annual,NextGen,True,"['State Privacy Laws', 'HITECH', 'HIPAA']",current,Director of Operations,True,training,Using legacy system alongside
HC-1023,Community Healthcare Associates,Specialty Center,Oncology,Mid-Market,69,2,6969,18168,1,67,2024-03-15,3-year,Epic,False,"['HIPAA', 'Meaningful Use']",current,COO,True,training,Using legacy system alongside
HC-1024,Advanced Health Group,Clinic Network,Oncology,Mid-Market,28,1,6440,20151,20,63,2024-10-18,annual,Cerner,True,"['State Privacy Laws', 'Meaningful Use']",current,COO,False,live,Using legacy system alongside
HC-1025,Regional Medical Partners,Telehealth Provider,Cardiology,SMB,4,2,792,3683,25,68,2024-04-19,monthly,NextGen,True,"['HITECH', 'Meaningful Use', 'State Privacy Laws']",current,COO,False,training,Using legacy system alongside
HC-1026,Advanced Care Partners,Clinic Network,Primary Care,Mid-Market,50,16,6600,10699,14,60,2024-04-04,annual,NextGen,True,"['State Privacy Laws', 'HIPAA']",past_due,Practice Manager,False,configuration,Evaluating alternatives
HC-1027,Advanced Medical Associates,Telehealth Provider,Emergency Medicine,SMB,2,2,572,3235,22,94,2025-07-28,annual,Epic,False,['HIPAA'],current,Chief Medical Officer,False,live,Using legacy system alongside
HC-1028,Premier Medical Associates,Urgent Care,Orthopedics,SMB,3,3,387,7944,33,67,2024-02-12,annual,Allscripts,True,"['HIPAA', 'HITECH']",current,Chief Medical Officer,True,training,None
HC-1029,Premier Care System,Private Practice,Orthopedics,SMB,4,4,592,5811,17,83,2024-08-30,annual,Cerner,True,['Meaningful Use'],excellent,Practice Manager,False,training,Using legacy system alongside
HC-1030,Community Healthcare Group,Specialty Center,Cardiology,Mid-Market,46,3,8832,23711,46,92,2025-01-26,3-year,Epic,False,"['HITECH', 'HIPAA']",current,IT Director,True,configuration,Using legacy system alongside
HC-1031,Community Health Group,Clinic Network,Emergency Medicine,Mid-Market,96,10,15936,22568,18,64,2024-12-02,3-year,Allscripts,True,['State Privacy Laws'],current,Director of Operations,True,full_adoption,Using legacy system alongside
HC-1032,Regional Healthcare Group,Hospital System,Mental Health,Enterprise,337,10,62345,19014,23,41,2024-02-09,3-year,Epic,False,"['Meaningful Use', 'HITECH', 'State Privacy Laws']",current,IT Director,False,live,Considering switch
HC-1033,Community Healthcare Center,Urgent Care,Emergency Medicine,SMB,17,2,4573,7706,26,74,2024-01-02,3-year,Athenahealth,False,"['HITECH', 'Meaningful Use', 'State Privacy Laws']",current,Practice Manager,True,configuration,Using legacy system alongside
HC-1034,Regional Healthcare System,Telehealth Provider,Mental Health,SMB,14,4,2296,4615,8,85,2025-02-22,monthly,Allscripts,False,"['State Privacy Laws', 'Meaningful Use']",current,Chief Medical Officer,True,training,Considering switch
HC-1035,Integrated Medical System,Telehealth Provider,Mental Health,SMB,18,2,4842,2215,6,54,2025-02-19,annual,Athenahealth,True,['State Privacy Laws'],past_due,Director of Operations,True,training,Considering switch
HC-1036,Premier Healthcare Associates,Urgent Care,Multi-specialty,SMB,13,1,2626,504,4,30,2025-03-28,monthly,NextGen,True,['Meaningful Use'],current,Chief Medical Officer,True,live,Using legacy system alongside
HC-1037,Premier Healthcare Center,Urgent Care,Pediatrics,SMB,17,3,3621,4864,42,69,2024-11-13,annual,Cerner,True,['HITECH'],current,Practice Manager,True,live,Evaluating alternatives
HC-1038,Premier Health Associates,Specialty Center,Emergency Medicine,Mid-Market,99,4,15939,13308,23,48,2025-08-12,annual,Cerner,True,"['Meaningful Use', 'HITECH', 'State Privacy Laws']",current,Chief Medical Officer,True,training,None
HC-1039,Integrated Medical Group,Hospital System,Multi-specialty,Enterprise,175,13,25725,20237,25,79,2024-02-21,annual,Athenahealth,False,['HIPAA'],current,IT Director,True,training,Considering switch
HC-1040,Premier Healthcare Associates,Telehealth Provider,Emergency Medicine,SMB,4,1,1012,3647,16,90,2025-07-15,monthly,eClinicalWorks,True,['Meaningful Use'],current,IT Director,True,configuration,Evaluating alternatives
HC-1041,Advanced Care Group,Telehealth Provider,Mental Health,SMB,15,2,4440,5553,12,55,2025-03-26,annual,Epic,False,"['State Privacy Laws', 'HIPAA', 'HITECH']",current,Director of Operations,True,configuration,None
HC-1042,Community Medical Associates,Clinic Network,Orthopedics,Mid-Market,32,2,3488,10881,5,55,2024-08-07,annual,Epic,True,"['Meaningful Use', 'HITECH']",excellent,COO,True,full_adoption,Considering switch
HC-1043,Community Care Associates,Hospital System,Primary Care,Enterprise,374,16,38522,31364,16,63,2025-08-12,annual,eClinicalWorks,True,"['HIPAA', 'HITECH']",current,Director of Operations,False,full_adoption,Considering switch
HC-1044,Premier Medical Associates,Urgent Care,Pediatrics,SMB,13,1,3406,7333,33,72,2024-10-06,annual,eClinicalWorks,False,"['HIPAA', 'HITECH']",current,Director of Operations,False,full_adoption,Evaluating alternatives
HC-1045,Community Health Associates,Specialty Center,Primary Care,Mid-Market,83,4,11869,22450,29,52,2024-03-26,monthly,NextGen,True,"['HITECH', 'Meaningful Use']",current,Chief Medical Officer,False,live,Using legacy system alongside
HC-1046,Advanced Medical Associates,Specialty Center,Oncology,Mid-Market,90,1,17010,21281,34,90,2024-12-11,annual,eClinicalWorks,True,"['Meaningful Use', 'HITECH']",current,Practice Manager,False,full_adoption,None
HC-1047,Premier Health Partners,Telehealth Provider,Pediatrics,SMB,5,1,600,1228,36,49,2024-03-11,annual,NextGen,False,['HIPAA'],excellent,Chief Medical Officer,True,training,None
HC-1048,Community Medical Group,Urgent Care,Multi-specialty,SMB,19,2,3705,5604,24,62,2024-04-27,annual,Athenahealth,True,['Meaningful Use'],current,Director of Operations,False,configuration,Evaluating alternatives
HC-1049,Premier Health Group,Urgent Care,Mental Health,SMB,4,2,516,5468,17,88,2024-04-20,annual,Athenahealth,True,['State Privacy Laws'],current,COO,True,full_adoption,Considering switch
HC-1050,Community Health System,Telehealth Provider,Pediatrics,SMB,5,4,1440,895,41,58,2024-04-14,annual,NextGen,False,"['HIPAA', 'State Privacy Laws']",current,Practice Manager,True,configuration,Considering switch
HC-1051,Advanced Health System,Telehealth Provider,Oncology,SMB,16,4,3456,643,5,54,2024-01-13,annual,eClinicalWorks,True,"['HIPAA', 'HITECH']",past_due,Director of Operations,False,full_adoption,Evaluating alternatives
HC-1052,Community Healthcare System,Specialty Center,Multi-specialty,Mid-Market,66,3,13728,6062,42,97,2025-04-21,3-year,eClinicalWorks,True,"['State Privacy Laws', 'HITECH', 'HIPAA']",current,Practice Manager,True,configuration,Considering switch
HC-1053,Integrated Care Partners,Clinic Network,Primary Care,Mid-Market,84,12,14700,11801,9,49,2025-05-21,3-year,Allscripts,False,['Meaningful Use'],current,Chief Medical Officer,True,configuration,Using legacy system alongside
HC-1054,Advanced Healthcare System,Private Practice,Primary Care,SMB,10,1,1260,3493,2,30,2025-06-13,monthly,Cerner,False,['HITECH'],current,IT Director,True,full_adoption,Evaluating alternatives
HC-1055,Integrated Care Associates,Telehealth Provider,Primary Care,SMB,18,4,3060,1010,25,84,2024-04-05,annual,Allscripts,False,['Meaningful Use'],current,Chief Medical Officer,True,configuration,Using legacy system alongside
HC-1056,Premier Healthcare Associates,Specialty Center,Oncology,Mid-Market,48,2,14112,20485,45,52,2024-12-26,annual,NextGen,True,"['State Privacy Laws', 'HITECH']",current,Director of Operations,True,training,None
HC-1057,Community Healthcare Center,Telehealth Provider,Orthopedics,SMB,10,4,1000,2458,3,32,2024-07-15,3-year,Cerner,True,"['Meaningful Use', 'HITECH', 'State Privacy Laws']",current,Practice Manager,False,training,Using legacy system alongside
HC-1058,Advanced Medical Partners,Clinic Network,Primary Care,Mid-Market,47,13,10951,18428,44,84,2025-06-30,monthly,Cerner,False,"['HIPAA', 'Meaningful Use']",current,COO,False,configuration,Evaluating alternatives
HC-1059,Integrated Health Center,Telehealth Provider,Mental Health,SMB,6,2,1476,6295,20,96,2025-04-25,monthly,eClinicalWorks,True,"['State Privacy Laws', 'HIPAA']",current,Practice Manager,False,configuration,Considering switch
HC-1060,Regional Care Associates,Hospital System,Cardiology,Enterprise,103,11,10506,55821,16,62,2025-08-13,annual,NextGen,False,"['HIPAA', 'Meaningful Use', 'State Privacy Laws']",excellent,COO,True,configuration,None
HC-1061,Regional Care System,Clinic Network,Pediatrics,Mid-Market,37,8,7067,14337,36,65,2025-06-19,annual,eClinicalWorks,True,"['Meaningful Use', 'HITECH']",current,COO,False,full_adoption,Using legacy system alongside
HC-1062,Premier Health System,Urgent Care,Cardiology,SMB,18,4,4680,5820,20,52,2024-07-31,annual,NextGen,True,['State Privacy Laws'],current,Practice Manager,False,training,Evaluating alternatives
HC-1063,Premier Health Group,Clinic Network,Primary Care,Mid-Market,78,18,19656,23222,2,30,2025-02-22,annual,eClinicalWorks,True,"['Meaningful Use', 'HITECH', 'HIPAA']",current,Chief Medical Officer,False,configuration,Using legacy system alongside
HC-1064,Integrated Health Group,Telehealth Provider,Mental Health,SMB,19,2,5244,723,11,60,2024-07-21,annual,eClinicalWorks,False,['HITECH'],past_due,Chief Medical Officer,False,configuration,Evaluating alternatives
HC-1065,Regional Medical Partners,Hospital System,Mental Health,Enterprise,147,16,29106,25344,1,40,2025-03-25,monthly,Epic,True,"['State Privacy Laws', 'Meaningful Use']",current,IT Director,False,configuration,Considering switch
HC-1066,Regional Health Associates,Specialty Center,Oncology,Mid-Market,12,1,1464,22844,37,92,2024-09-13,annual,Epic,True,['HITECH'],current,COO,True,live,Using legacy system alongside
HC-1067,Regional Medical Associates,Urgent Care,Multi-specialty,SMB,2,2,544,4646,13,43,2024-10-11,3-year,Cerner,False,"['Meaningful Use', 'State Privacy Laws', 'HITECH']",current,Practice Manager,True,full_adoption,Using legacy system alongside
HC-1068,Advanced Healthcare Center,Specialty Center,Orthopedics,Mid-Market,48,2,12528,19489,3,78,2024-12-03,3-year,eClinicalWorks,True,"['Meaningful Use', 'HITECH', 'State Privacy Laws']",current,COO,False,live,Considering switch
HC-1069,Advanced Healthcare Partners,Hospital System,Cardiology,Enterprise,362,15,76382,37928,47,62,2025-02-17,annual,Athenahealth,True,['Meaningful Use'],past_due,IT Director,False,live,Evaluating alternatives
HC-1070,Advanced Care Associates,Urgent Care,Primary Care,SMB,3,2,447,7449,34,57,2024-07-27,annual,Allscripts,True,"['HITECH', 'Meaningful Use', 'State Privacy Laws']",current,IT Director,True,live,None
HC-1071,Premier Medical Group,Telehealth Provider,Mental Health,SMB,2,2,356,7627,30,94,2025-07-18,3-year,Epic,False,"['Meaningful Use', 'HIPAA', 'State Privacy Laws']",current,Practice Manager,False,full_adoption,None
HC-1072,Community Care Partners,Telehealth Provider,Mental Health,SMB,11,2,2013,3332,24,44,2025-03-01,annual,eClinicalWorks,True,"['HITECH', 'Meaningful Use']",current,COO,True,training,Considering switch
HC-1073,Premier Medical Center,Clinic Network,Mental Health,Mid-Market,84,16,17640,23290,23,94,2025-02-28,monthly,Allscripts,True,"['State Privacy Laws', 'HIPAA', 'HITECH']",current,Director of Operations,True,full_adoption,Evaluating alternatives
HC-1074,Premier Care Partners,Specialty Center,Oncology,Mid-Market,65,3,19110,13472,32,42,2025-07-19,annual,Athenahealth,True,"['Meaningful Use', 'HITECH']",current,Chief Medical Officer,True,training,Considering switch
HC-1075,Integrated Health Partners,Clinic Network,Multi-specialty,Mid-Market,14,6,3766,17891,22,60,2025-01-25,monthly,eClinicalWorks,True,"['HITECH', 'Meaningful Use', 'HIPAA']",current,Chief Medical Officer,True,configuration,None
HC-1076,Regional Care Center,Specialty Center,Orthopedics,Mid-Market,87,1,22098,19124,9,65,2025-02-23,annual,NextGen,True,['HIPAA'],current,IT Director,True,configuration,Using legacy system alongside
HC-1077,Integrated Health Partners,Urgent Care,Emergency Medicine,SMB,17,1,3060,4144,26,75,2024-11-20,monthly,NextGen,True,"['Meaningful Use', 'State Privacy Laws', 'HIPAA']",excellent,COO,True,live,Evaluating alternatives
HC-1078,Advanced Medical Center,Telehealth Provider,Emergency Medicine,SMB,15,4,1905,5069,23,53,2024-04-10,annual,NextGen,True,"['HIPAA', 'HITECH', 'Meaningful Use']",current,Director of Operations,True,live,None
HC-1079,Regional Healthcare Partners,Private Practice,Oncology,SMB,4,3,1000,2146,46,82,2025-03-17,monthly,Cerner,False,['Meaningful Use'],current,COO,True,training,Evaluating alternatives
HC-1080,Regional Care System,Clinic Network,Pediatrics,Mid-Market,73,10,15914,13152,37,67,2025-05-24,annual,Athenahealth,False,['HITECH'],current,IT Director,True,configuration,Considering switch
HC-1081,Regional Care Partners,Private Practice,Orthopedics,SMB,18,3,2232,4096,4,30,2024-03-16,annual,eClinicalWorks,True,"['State Privacy Laws', 'Meaningful Use']",current,IT Director,False,configuration,Considering switch
HC-1082,Community Care Associates,Private Practice,Cardiology,SMB,16,2,3392,4507,44,58,2024-08-30,annual,eClinicalWorks,True,"['State Privacy Laws', 'Meaningful Use', 'HITECH']",current,Director of Operations,True,live,Considering switch
HC-1083,Regional Health System,Private Practice,Multi-specialty,SMB,14,2,3080,6585,33,92,2024-10-20,annual,Cerner,True,"['State Privacy Laws', 'HIPAA', 'Meaningful Use']",current,COO,False,configuration,Evaluating alternatives
HC-1084,Regional Health Partners,Telehealth Provider,Multi-specialty,SMB,10,1,2300,5354,31,79,2024-02-04,3-year,Athenahealth,True,"['HITECH', 'HIPAA']",current,Director of Operations,False,configuration,Considering switch
HC-1085,Community Medical System,Clinic Network,Oncology,Mid-Market,13,6,2821,13837,30,95,2025-06-27,annual,Athenahealth,False,"['HITECH', 'Meaningful Use']",current,IT Director,True,configuration,Using legacy system alongside
HC-1086,Integrated Health Group,Hospital System,Pediatrics,Enterprise,484,4,69212,37700,5,30,2025-02-10,annual,Athenahealth,True,"['HIPAA', 'HITECH']",current,Practice Manager,True,configuration,None
HC-1087,Advanced Healthcare System,Specialty Center,Emergency Medicine,Mid-Market,99,2,16137,17941,38,76,2025-01-15,monthly,Epic,True,"['HITECH', 'Meaningful Use', 'HIPAA']",current,COO,True,configuration,Evaluating alternatives
HC-1088,Regional Care Partners,Telehealth Provider,Emergency Medicine,SMB,19,2,2071,2539,5,42,2024-04-29,3-year,Cerner,True,['HIPAA'],past_due,Director of Operations,True,full_adoption,None
HC-1089,Community Medical Associates,Hospital System,Multi-specialty,Enterprise,150,15,17400,58336,9,50,2025-01-14,annual,NextGen,True,"['Meaningful Use', 'State Privacy Laws', 'HIPAA']",current,IT Director,False,live,Considering switch
HC-1090,Integrated Healthcare Center,Urgent Care,Oncology,SMB,13,2,2301,2469,11,48,2024-08-10,monthly,eClinicalWorks,True,"['HITECH', 'Meaningful Use']",current,Practice Manager,True,configuration,Using legacy system alongside
HC-1091,Integrated Healthcare Group,Hospital System,Cardiology,Enterprise,369,5,63099,36852,11,80,2025-04-10,annual,Epic,True,"['HITECH', 'State Privacy Laws', 'HIPAA']",current,Practice Manager,False,configuration,Evaluating alternatives
HC-1092,Premier Medical Center,Clinic Network,Pediatrics,Mid-Market,87,13,14007,12577,4,44,2025-08-23,annual,Cerner,True,['State Privacy Laws'],current,Chief Medical Officer,False,live,Using legacy system alongside
HC-1093,Community Healthcare Group,Clinic Network,Cardiology,Mid-Market,41,15,9184,16954,38,72,2024-01-27,annual,Cerner,True,['State Privacy Laws'],current,Chief Medical Officer,True,configuration,None
HC-1094,Advanced Health Group,Clinic Network,Emergency Medicine,Mid-Market,62,6,12586,8687,39,90,2025-06-22,3-year,Epic,True,"['HIPAA', 'HITECH', 'State Privacy Laws']",current,Director of Operations,True,live,Considering switch
HC-1095,Community Health System,Urgent Care,Mental Health,SMB,16,2,4096,6242,33,91,2025-04-14,3-year,NextGen,False,['HIPAA'],current,IT Director,True,full_adoption,Considering switch
HC-1096,Regional Care Associates,Telehealth Provider,Cardiology,SMB,6,2,792,1450,4,41,2024-03-23,annual,Allscripts,False,"['HITECH', 'HIPAA', 'State Privacy Laws']",current,Director of Operations,False,configuration,Considering switch
HC-1097,Premier Healthcare Associates,Urgent Care,Emergency Medicine,SMB,16,4,3328,6871,24,91,2024-04-11,annual,NextGen,True,['HITECH'],current,IT Director,True,full_adoption,Evaluating alternatives
HC-1098,Advanced Care Associates,Specialty Center,Emergency Medicine,Mid-Market,54,2,10476,20770,36,75,2024-04-07,annual,Allscripts,True,"['State Privacy Laws', 'Meaningful Use']",current,Director of Operations,False,configuration,Evaluating alternatives
HC-1099,Integrated Health Center,Telehealth Provider,Cardiology,SMB,7,2,2093,3705,23,86,2024-04-05,3-year,eClinicalWorks,True,['State Privacy Laws'],current,Chief Medical Officer,True,live,Using legacy system alongside
HC-1100,Regional Care Partners,Telehealth Provider,Emergency Medicine,SMB,2,4,318,2139,43,51,2024-02-22,annual,Allscripts,True,"['State Privacy Laws', 'HITECH', 'HIPAA']",excellent,COO,False,training,Evaluating alternatives
HC-1101,Integrated Medical Center,Telehealth Provider,Oncology,SMB,11,1,2101,3556,31,97,2025-07-23,annual,Allscripts,False,['State Privacy Laws'],excellent,COO,False,training,Considering switch
HC-1102,Premier Health System,Urgent Care,Mental Health,SMB,2,2,400,3361,21,65,2024-01-30,monthly,Cerner,False,"['State Privacy Laws', 'HITECH']",current,Director of Operations,True,live,Evaluating alternatives
HC-1103,Premier Care Center,Clinic Network,Orthopedics,Mid-Market,49,9,13426,7708,9,92,2024-02-01,annual,Epic,False,"['HITECH', 'Meaningful Use', 'State Privacy Laws']",current,IT Director,True,configuration,Evaluating alternatives
HC-1104,Advanced Healthcare System,Private Practice,Cardiology,SMB,12,2,2808,885,18,66,2024-02-23,3-year,Cerner,True,['HIPAA'],current,Practice Manager,False,configuration,Considering switch
HC-1105,Integrated Care System,Telehealth Provider,Multi-specialty,SMB,8,1,2376,5799,24,72,2025-02-28,annual,Allscripts,True,['HIPAA'],current,Director of Operations,True,full_adoption,None
HC-1106,Premier Care System,Private Practice,Mental Health,SMB,18,1,3240,1466,20,80,2024-02-16,annual,Cerner,False,"['HIPAA', 'Meaningful Use']",current,Chief Medical Officer,True,configuration,Evaluating alternatives
HC-1107,Advanced Healthcare Partners,Clinic Network,Cardiology,Mid-Market,80,19,19200,14984,30,62,2024-01-08,annual,eClinicalWorks,False,"['Meaningful Use', 'HIPAA', 'State Privacy Laws']",current,IT Director,True,training,Using legacy system alongside
HC-1108,Integrated Health Associates,Hospital System,Primary Care,Enterprise,478,19,61662,57460,16,79,2025-04-15,monthly,Epic,False,"['Meaningful Use', 'State Privacy Laws']",current,IT Director,True,full_adoption,Using legacy system alongside
HC-1109,Integrated Health Partners,Hospital System,Orthopedics,Enterprise,162,8,42930,41737,4,30,2025-04-16,3-year,NextGen,False,"['HIPAA', 'HITECH']",current,Practice Manager,True,training,Considering switch
HC-1110,Integrated Health Associates,Urgent Care,Mental Health,SMB,15,3,3345,6805,33,62,2024-12-13,monthly,Cerner,False,"['HITECH', 'HIPAA']",current,COO,True,live,Evaluating alternatives
HC-1111,Advanced Medical Group,Private Practice,Cardiology,SMB,4,1,1144,6603,8,93,2024-05-29,annual,Allscripts,True,['HITECH'],current,COO,True,training,None
HC-1112,Integrated Care System,Clinic Network,Multi-specialty,Mid-Market,43,14,8385,12970,24,53,2025-08-01,3-year,NextGen,True,"['State Privacy Laws', 'Meaningful Use', 'HITECH']",current,Chief Medical Officer,True,full_adoption,None
HC-1113,Integrated Healthcare Partners,Specialty Center,Primary Care,Mid-Market,64,1,6784,22327,10,46,2024-12-26,annual,Athenahealth,True,['State Privacy Laws'],current,IT Director,True,full_adoption,None
HC-1114,Advanced Healthcare Center,Hospital System,Cardiology,Enterprise,237,5,23937,68329,1,66,2025-06-03,annual,eClinicalWorks,True,"['HIPAA', 'HITECH']",current,COO,True,training,Using legacy system alongside
HC-1115,Integrated Medical Center,Urgent Care,Multi-specialty,SMB,13,4,1352,2055,37,77,2024-04-15,annual,Allscripts,True,"['HIPAA', 'State Privacy Laws', 'Meaningful Use']",current,Practice Manager,False,training,Considering switch
HC-1116,Premier Medical Partners,Specialty Center,Oncology,Mid-Market,95,2,11685,22771,17,49,2024-10-16,annual,eClinicalWorks,False,"['State Privacy Laws', 'Meaningful Use']",past_due,COO,True,live,Using legacy system alongside
HC-1117,Advanced Health System,Hospital System,Emergency Medicine,Enterprise,164,2,18532,42856,9,79,2024-10-17,annual,Allscripts,True,"['HITECH', 'Meaningful Use', 'HIPAA']",current,COO,False,training,Using legacy system alongside
HC-1118,Integrated Medical System,Private Practice,Cardiology,SMB,5,2,1425,7309,29,84,2024-11-13,annual,Athenahealth,True,"['State Privacy Laws', 'HIPAA']",excellent,COO,True,live,Considering switch
HC-1119,Advanced Health Partners,Urgent Care,Mental Health,SMB,5,1,1325,540,34,56,2024-07-03,annual,Cerner,False,"['Meaningful Use', 'HIPAA']",current,Chief Medical Officer,True,training,Evaluating alternatives
HC-1120,Advanced Health System,Hospital System,Primary Care,Enterprise,76,8,9880,55760,6,66,2024-12-10,annual,Athenahealth,True,['Meaningful Use'],current,Chief Medical Officer,True,training,Evaluating alternatives
HC-1121,Premier Medical Associates,Telehealth Provider,Primary Care,SMB,18,4,5202,3469,46,41,2025-02-24,3-year,Allscripts,True,"['HITECH', 'Meaningful Use', 'State Privacy Laws']",current,IT Director,False,training,Evaluating alternatives
HC-1122,Integrated Medical Partners,Private Practice,Multi-specialty,SMB,12,3,1320,5915,36,88,2025-04-17,annual,Allscripts,True,"['Meaningful Use', 'HIPAA']",current,Chief Medical Officer,False,training,Using legacy system alongside
HC-1123,Integrated Healthcare System,Hospital System,Cardiology,Enterprise,295,4,49560,44077,33,97,2025-06-12,annual,Epic,True,"['HIPAA', 'Meaningful Use']",past_due,Director of Operations,False,full_adoption,Evaluating alternatives
HC-1124,Regional Medical Associates,Specialty Center,Oncology,Mid-Market,82,4,24026,5153,9,48,2024-01-28,annual,eClinicalWorks,True,['Meaningful Use'],current,COO,True,configuration,Evaluating alternatives
HC-1125,Regional Healthcare Group,Specialty Center,Primary Care,Mid-Market,48,2,9936,17418,44,90,2024-11-22,monthly,Epic,True,"['State Privacy Laws', 'HIPAA', 'Meaningful Use']",current,Practice Manager,False,configuration,Considering switch
HC-1126,Community Care Associates,Telehealth Provider,Primary Care,SMB,18,3,2088,3504,10,96,2024-03-22,annual,Epic,True,"['HITECH', 'HIPAA']",excellent,COO,False,full_adoption,None
HC-1127,Community Healthcare Center,Private Practice,Primary Care,SMB,18,4,3906,2250,16,45,2024-09-01,annual,eClinicalWorks,True,"['Meaningful Use', 'HIPAA', 'State Privacy Laws']",current,IT Director,False,live,Evaluating alternatives
