interaction_id,customer_id,date,channel,topic,priority,sentiment,resolution_time_hours,resolved,escalated,csat_score,description,staff_role,affected_users,patient_impact
TICKET-5018,HC-1004,2025-09-15,chat,billing_workflow,high,urgent,74,True,True,1.0,Explanation of Benefits (EOB) posting is 3 weeks behind. Billing team can't reconcile accounts receivable. This is causing significant disruption to patient care. Director of Operations escalating.,Medical Assistant,1,
TICKET-5019,HC-1004,2025-02-23,email,clinical_documentation,high,frustrated,64,False,False,,Issue with clinical documentation This is causing significant disruption to patient care. Director of Operations escalating.,Front Desk,7,High
TICKET-5020,HC-1004,2025-05-07,ticket,telehealth_setup,medium,negative,87,True,False,,Issue with telehealth setup Staff productivity severely impacted. Need resolution ASAP.,IT Admin,6,
TICKET-5021,HC-1004,2024-04-23,phone,claims_management,medium,negative,22,True,False,,Issue with claims management Staff productivity severely impacted. Need resolution ASAP.,Practice Manager,2,None
TICKET-5022,HC-1004,2024-03-17,email,prescription_workflow,high,frustrated,58,True,False,2.0,Issue with prescription workflow This is causing significant disruption to patient care. Director of Operations escalating.,IT Admin,8,
TICKET-5023,HC-1004,2024-10-30,email,clinical_documentation,high,urgent,31,True,False,,Issue with clinical documentation This is causing significant disruption to patient care. Director of Operations escalating.,Medical Assistant,9,None
TICKET-5024,HC-1005,2024-10-24,email,telehealth_setup,low,positive,5,True,False,3.0,Issue with telehealth setup,Practice Manager,3,
TICKET-5025,HC-1005,2024-02-16,phone,ehr_integration,high,neutral,78,False,True,5.0,Epic integration stopped syncing patient appointments after last Athenahealth update. Appointments from past 48 hours missing.,Medical Assistant,3,
TICKET-5026,HC-1005,2025-03-24,email,claims_management,low,neutral,35,True,False,4.0,Issue with claims management,Practice Manager,2,
TICKET-5027,HC-1005,2024-12-16,chat,patient_scheduling,high,positive,32,True,False,3.0,Double-booking occurring in Provider schedule - happened 5 times this week. Causing patient wait issues.,Front Desk,6,
TICKET-5028,HC-1005,2025-01-29,email,prescription_workflow,low,positive,31,False,False,5.0,Issue with prescription workflow,IT Admin,3,None
TICKET-5029,HC-1005,2024-06-19,phone,hipaa_compliance,high,positive,32,False,False,2.0,Need audit logs for past 6 months for compliance review. Upcoming HIPAA audit in 2 weeks.,Practice Manager,4,High
TICKET-5030,HC-1005,2024-06-12,phone,hipaa_compliance,high,neutral,15,True,False,5.0,Questions about data encryption standards. Internal audit flagged concerns about patient data security.,Front Desk,8,Medium
TICKET-5031,HC-1006,2025-03-24,email,patient_scheduling,high,neutral,83,True,False,,Need to block off provider time for hospital rounds but system won't allow multi-location blocking.,Billing Specialist,9,High
TICKET-5032,HC-1006,2024-05-13,email,patient_portal,low,neutral,94,True,False,,Portal messaging feature timing out for 1683 patient messages. Staff having to call patients back.,Front Desk,6,
TICKET-5033,HC-1006,2024-03-05,phone,clinical_documentation,low,concerned,42,True,False,,Issue with clinical documentation,IT Admin,9,High
TICKET-5034,HC-1006,2025-08-13,chat,prescription_workflow,low,neutral,20,True,False,2.0,Issue with prescription workflow,IT Admin,4,High
TICKET-5035,HC-1007,2025-06-15,ticket,reporting_analytics,low,neutral,90,True,False,2.0,Issue with reporting analytics,IT Admin,7,
TICKET-5036,HC-1007,2024-12-20,email,appointment_reminders,medium,neutral,25,True,False,,Issue with appointment reminders,Provider,1,High
TICKET-5037,HC-1007,2025-09-19,email,ehr_integration,high,concerned,22,True,False,5.0,Epic integration stopped syncing patient appointments after last Cerner update. Appointments from past 48 hours missing.,Medical Assistant,1,None
TICKET-5038,HC-1007,2025-04-25,phone,patient_portal,low,neutral,48,True,False,,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'.,Front Desk,3,
TICKET-5039,HC-1007,2024-12-04,phone,clinical_documentation,low,neutral,83,True,False,4.0,Issue with clinical documentation,Provider,2,High
TICKET-5040,HC-1007,2025-02-16,phone,billing_workflow,medium,neutral,87,True,False,5.0,Insurance claims rejecting at unusually high rate (35%) - normally 10%. Major revenue impact.,Provider,7,
TICKET-5041,HC-1008,2025-05-25,phone,patient_portal,low,neutral,22,True,False,,Portal messaging feature timing out for 3584 patient messages. Staff having to call patients back.,Front Desk,6,Low
TICKET-5042,HC-1008,2024-01-19,email,hipaa_compliance,high,neutral,14,True,True,2.0,Questions about data encryption standards. Internal audit flagged concerns about patient data security.,Provider,5,High
TICKET-5043,HC-1008,2024-04-03,email,claims_management,medium,positive,25,True,False,1.0,Issue with claims management,Provider,4,
TICKET-5044,HC-1009,2025-04-12,phone,telehealth_setup,low,satisfied,26,False,False,4.0,Issue with telehealth setup,Medical Assistant,6,None
TICKET-5045,HC-1009,2024-12-05,phone,reporting_analytics,medium,positive,93,False,False,3.0,Issue with reporting analytics,Billing Specialist,6,None
TICKET-5046,HC-1009,2024-04-26,chat,hipaa_compliance,high,positive,35,True,False,,BAA (Business Associate Agreement) needs review before renewal. Legal team has questions.,Billing Specialist,5,
TICKET-5047,HC-1010,2024-10-25,phone,reporting_analytics,low,neutral,52,True,False,3.0,Issue with reporting analytics,Practice Manager,8,None
TICKET-5048,HC-1010,2025-05-19,email,patient_scheduling,high,neutral,46,True,False,3.0,Need to block off provider time for hospital rounds but system won't allow multi-location blocking.,Front Desk,9,
TICKET-5049,HC-1010,2025-09-17,chat,billing_workflow,medium,satisfied,88,True,False,,Insurance claims rejecting at unusually high rate (35%) - normally 10%. Major revenue impact.,Front Desk,4,
TICKET-5050,HC-1010,2024-07-14,phone,prescription_workflow,medium,satisfied,85,True,False,,Issue with prescription workflow,Front Desk,6,
TICKET-5051,HC-1010,2025-08-25,email,hipaa_compliance,high,positive,72,True,False,2.0,Questions about data encryption standards. Internal audit flagged concerns about patient data security.,Provider,3,Medium
TICKET-5052,HC-1011,2024-05-17,email,patient_portal,low,concerned,47,True,False,1.0,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'.,Practice Manager,2,None
TICKET-5053,HC-1011,2025-03-19,email,claims_management,low,neutral,34,False,False,3.0,Issue with claims management,Medical Assistant,2,Medium
TICKET-5054,HC-1011,2024-06-26,ticket,prescription_workflow,medium,neutral,7,True,False,,Issue with prescription workflow,IT Admin,6,Low
TICKET-5055,HC-1011,2024-11-25,chat,reporting_analytics,low,neutral,95,True,False,5.0,Issue with reporting analytics,Provider,8,High
TICKET-5056,HC-1011,2024-09-11,phone,clinical_documentation,high,frustrated,82,False,False,3.0,Issue with clinical documentation This is causing significant disruption to patient care. Director of Operations escalating.,Billing Specialist,7,
TICKET-5057,HC-1011,2024-05-16,ticket,patient_scheduling,high,neutral,17,True,False,3.0,Recurring appointment feature not working properly. Patients with standing weekly appointments getting canceled.,IT Admin,2,Low
TICKET-5058,HC-1011,2025-07-14,chat,telehealth_setup,low,concerned,20,True,False,,Issue with telehealth setup,Provider,6,Low
TICKET-5059,HC-1014,2024-12-19,chat,appointment_reminders,low,positive,82,True,False,2.0,Issue with appointment reminders,IT Admin,6,None
TICKET-5060,HC-1014,2024-07-01,email,reporting_analytics,low,positive,93,False,False,2.0,Issue with reporting analytics,Billing Specialist,5,High
TICKET-5061,HC-1014,2025-08-19,chat,claims_management,low,satisfied,49,True,False,5.0,Issue with claims management,Provider,9,
TICKET-5062,HC-1014,2025-03-08,phone,ehr_integration,high,positive,46,True,False,,Lab results integration failing for 3 of our 6 locations. Urgent - providers need results for patient care.,Front Desk,8,
TICKET-5063,HC-1014,2024-02-27,chat,billing_workflow,medium,satisfied,90,True,False,1.0,Explanation of Benefits (EOB) posting is 3 weeks behind. Billing team can't reconcile accounts receivable.,Medical Assistant,3,High
TICKET-5064,HC-1014,2024-09-13,email,patient_scheduling,high,positive,92,True,False,5.0,Double-booking occurring in Provider schedule - happened 5 times this week. Causing patient wait issues.,Billing Specialist,4,
TICKET-5065,HC-1014,2025-07-08,chat,ehr_integration,high,positive,83,True,False,2.0,Medication reconciliation data from Epic not flowing correctly. Providers seeing outdated medication lists.,Practice Manager,4,High
TICKET-5066,HC-1014,2025-07-29,phone,billing_workflow,medium,positive,6,True,False,1.0,CPT codes not mapping correctly to Epic procedures. Causing claim denials.,Front Desk,6,
TICKET-5067,HC-1014,2024-10-21,ticket,prescription_workflow,low,satisfied,70,True,False,3.0,Issue with prescription workflow,Front Desk,5,
TICKET-5068,HC-1015,2024-11-16,chat,reporting_analytics,low,neutral,94,True,False,,Issue with reporting analytics,Billing Specialist,3,
TICKET-5069,HC-1015,2025-03-29,phone,billing_workflow,low,neutral,92,True,False,3.0,CPT codes not mapping correctly to Athenahealth procedures. Causing claim denials.,IT Admin,5,
TICKET-5070,HC-1015,2025-08-25,phone,reporting_analytics,low,positive,64,True,False,2.0,Issue with reporting analytics,Medical Assistant,5,
TICKET-5071,HC-1015,2024-06-30,email,appointment_reminders,medium,neutral,58,True,False,,Issue with appointment reminders,Medical Assistant,5,High
TICKET-5072,HC-1015,2024-05-02,chat,insurance_verification,medium,positive,54,True,False,1.0,Issue with insurance verification,Provider,5,
TICKET-5073,HC-1015,2024-06-13,email,claims_management,low,positive,11,True,False,,Issue with claims management,Front Desk,7,Low
TICKET-5074,HC-1015,2024-06-07,chat,ehr_integration,high,positive,52,True,False,4.0,Epic integration stopped syncing patient appointments after last Athenahealth update. Appointments from past 48 hours missing.,Provider,6,
TICKET-5075,HC-1016,2025-10-02,chat,claims_management,low,positive,48,True,False,5.0,Issue with claims management,Provider,6,None
TICKET-5076,HC-1016,2024-03-15,chat,prescription_workflow,low,positive,43,True,False,3.0,Issue with prescription workflow,Medical Assistant,2,Medium
TICKET-5077,HC-1016,2025-06-01,email,patient_scheduling,high,neutral,11,True,False,4.0,Recurring appointment feature not working properly. Patients with standing weekly appointments getting canceled.,Front Desk,9,
TICKET-5078,HC-1016,2024-08-14,phone,billing_workflow,low,positive,64,True,False,,CPT codes not mapping correctly to eClinicalWorks procedures. Causing claim denials.,Billing Specialist,4,
TICKET-5079,HC-1016,2025-09-25,email,reporting_analytics,low,satisfied,16,True,False,3.0,Issue with reporting analytics,IT Admin,6,
TICKET-5080,HC-1016,2024-12-20,phone,patient_portal,medium,satisfied,58,True,False,3.0,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'.,Provider,9,None
TICKET-5081,HC-1016,2024-09-06,email,ehr_integration,high,positive,85,False,False,1.0,Lab results integration failing for 3 of our 15 locations. Urgent - providers need results for patient care.,Front Desk,7,High
TICKET-5082,HC-1017,2024-04-26,phone,insurance_verification,low,positive,79,True,False,2.0,Issue with insurance verification,Billing Specialist,7,
TICKET-5083,HC-1017,2025-06-13,phone,telehealth_setup,medium,positive,50,True,False,5.0,Issue with telehealth setup,Billing Specialist,1,None
TICKET-5084,HC-1017,2024-07-16,email,telehealth_setup,medium,neutral,65,True,False,3.0,Issue with telehealth setup,Medical Assistant,9,High
TICKET-5085,HC-1017,2025-07-04,chat,reporting_analytics,medium,neutral,23,True,False,5.0,Issue with reporting analytics,Medical Assistant,8,Medium
TICKET-5086,HC-1018,2024-08-06,chat,appointment_reminders,low,positive,6,True,False,1.0,Issue with appointment reminders,Medical Assistant,6,None
TICKET-5087,HC-1018,2025-03-21,phone,appointment_reminders,medium,positive,60,True,False,2.0,Issue with appointment reminders,Medical Assistant,9,
TICKET-5088,HC-1018,2024-12-05,chat,ehr_integration,high,neutral,67,True,False,,Epic integration stopped syncing patient appointments after last NextGen update. Appointments from past 48 hours missing.,Medical Assistant,1,None
TICKET-5089,HC-1018,2025-07-25,phone,hipaa_compliance,high,neutral,88,True,False,5.0,BAA (Business Associate Agreement) needs review before renewal. Legal team has questions.,Billing Specialist,8,
TICKET-5090,HC-1018,2025-04-06,ticket,appointment_reminders,low,satisfied,58,True,False,5.0,Issue with appointment reminders,Practice Manager,1,
TICKET-5091,HC-1018,2024-05-01,ticket,reporting_analytics,low,positive,42,True,False,2.0,Issue with reporting analytics,Provider,4,
TICKET-5092,HC-1019,2025-08-22,chat,ehr_integration,high,positive,81,True,False,2.0,Lab results integration failing for 3 of our 3 locations. Urgent - providers need results for patient care.,Billing Specialist,7,Medium
TICKET-5093,HC-1019,2024-04-18,email,clinical_documentation,medium,positive,42,True,False,4.0,Issue with clinical documentation,Billing Specialist,3,High
TICKET-5094,HC-1019,2025-03-24,phone,insurance_verification,low,positive,23,False,False,3.0,Issue with insurance verification,Practice Manager,9,
TICKET-5095,HC-1020,2025-06-30,email,billing_workflow,high,frustrated,80,True,False,5.0,Insurance claims rejecting at unusually high rate (35%) - normally 10%. Major revenue impact. This is causing significant disruption to patient care. Practice Manager escalating.,Provider,8,
TICKET-5096,HC-1020,2024-05-27,phone,clinical_documentation,medium,negative,26,True,False,1.0,Issue with clinical documentation Staff productivity severely impacted. Need resolution ASAP.,Practice Manager,1,None
TICKET-5097,HC-1020,2025-07-22,email,patient_scheduling,high,negative,37,False,False,,Double-booking occurring in Provider schedule - happened 5 times this week. Causing patient wait issues. Staff productivity severely impacted. Need resolution ASAP.,Provider,9,None
TICKET-5098,HC-1020,2025-07-04,phone,reporting_analytics,medium,negative,7,False,False,,Issue with reporting analytics Staff productivity severely impacted. Need resolution ASAP.,IT Admin,1,Low
TICKET-5099,HC-1020,2024-12-18,chat,billing_workflow,high,frustrated,36,False,True,1.0,Explanation of Benefits (EOB) posting is 3 weeks behind. Billing team can't reconcile accounts receivable. This is causing significant disruption to patient care. Practice Manager escalating.,Provider,4,
TICKET-5100,HC-1020,2024-07-07,phone,billing_workflow,medium,negative,27,False,False,4.0,CPT codes not mapping correctly to NextGen procedures. Causing claim denials. Staff productivity severely impacted. Need resolution ASAP.,Medical Assistant,1,
TICKET-5101,HC-1021,2025-08-03,email,ehr_integration,high,satisfied,70,True,False,3.0,Lab results integration failing for 3 of our 3 locations. Urgent - providers need results for patient care.,Provider,1,
TICKET-5102,HC-1021,2024-03-09,chat,clinical_documentation,low,positive,17,True,False,,Issue with clinical documentation,Provider,3,
TICKET-5103,HC-1021,2024-12-04,phone,telehealth_setup,medium,satisfied,60,True,False,3.0,Issue with telehealth setup,Medical Assistant,2,
TICKET-5104,HC-1021,2025-09-26,email,hipaa_compliance,high,neutral,92,True,True,,Need audit logs for past 6 months for compliance review. Upcoming HIPAA audit in 2 weeks.,Front Desk,2,
TICKET-5105,HC-1021,2024-11-09,phone,prescription_workflow,low,positive,40,True,False,4.0,Issue with prescription workflow,Billing Specialist,1,Low
TICKET-5106,HC-1021,2025-03-14,email,patient_scheduling,high,satisfied,60,True,False,,Double-booking occurring in Provider schedule - happened 5 times this week. Causing patient wait issues.,Medical Assistant,3,Medium
TICKET-5107,HC-1022,2025-03-22,chat,clinical_documentation,low,satisfied,58,True,False,,Issue with clinical documentation,IT Admin,1,
TICKET-5108,HC-1022,2025-05-06,chat,patient_portal,low,neutral,89,False,False,,Portal messaging feature timing out for 568 patient messages. Staff having to call patients back.,Billing Specialist,1,
TICKET-5109,HC-1022,2024-04-21,phone,patient_scheduling,high,positive,79,True,False,5.0,Need to block off provider time for hospital rounds but system won't allow multi-location blocking.,Billing Specialist,1,High
TICKET-5110,HC-1022,2024-05-23,ticket,reporting_analytics,medium,neutral,72,True,False,,Issue with reporting analytics,IT Admin,1,
TICKET-5111,HC-1022,2024-03-18,chat,ehr_integration,high,satisfied,69,True,False,4.0,Lab results integration failing for 3 of our 3 locations. Urgent - providers need results for patient care.,Provider,1,Medium
TICKET-5112,HC-1023,2025-08-27,ticket,billing_workflow,high,frustrated,37,True,False,2.0,Insurance claims rejecting at unusually high rate (35%) - normally 10%. Major revenue impact. This is causing significant disruption to patient care. COO escalating.,Provider,7,High
TICKET-5113,HC-1023,2025-07-06,email,patient_portal,high,frustrated,10,True,False,1.0,Appointment request form on portal not submitting. Patients calling saying online booking broken. This is causing significant disruption to patient care. COO escalating.,Billing Specialist,6,
TICKET-5114,HC-1023,2025-08-26,chat,prescription_workflow,medium,concerned,81,True,False,,Issue with prescription workflow,Provider,9,Medium
TICKET-5115,HC-1023,2025-02-10,phone,telehealth_setup,low,concerned,14,True,False,4.0,Issue with telehealth setup,Provider,7,None
TICKET-5116,HC-1023,2025-06-10,email,patient_scheduling,high,neutral,67,True,False,,Recurring appointment feature not working properly. Patients with standing weekly appointments getting canceled.,Provider,6,Low
TICKET-5117,HC-1023,2024-05-29,email,prescription_workflow,low,neutral,43,False,False,2.0,Issue with prescription workflow,Practice Manager,3,
TICKET-5118,HC-1024,2025-05-14,email,billing_workflow,low,neutral,16,True,False,,Insurance claims rejecting at unusually high rate (35%) - normally 10%. Major revenue impact.,Medical Assistant,8,
TICKET-5119,HC-1024,2024-07-30,chat,reporting_analytics,low,concerned,63,False,False,,Issue with reporting analytics,Front Desk,3,Low
TICKET-5120,HC-1024,2024-02-10,email,appointment_reminders,medium,neutral,14,False,False,,Issue with appointment reminders,Provider,2,None
TICKET-5121,HC-1025,2024-10-07,phone,prescription_workflow,low,neutral,72,True,False,2.0,Issue with prescription workflow,Provider,1,
TICKET-5122,HC-1025,2025-01-22,ticket,telehealth_setup,medium,concerned,66,True,False,1.0,Issue with telehealth setup,Front Desk,3,None
TICKET-5123,HC-1025,2024-08-16,phone,reporting_analytics,low,concerned,33,True,False,,Issue with reporting analytics,Billing Specialist,1,
TICKET-5124,HC-1026,2025-05-08,chat,claims_management,low,neutral,20,False,False,5.0,Issue with claims management,Medical Assistant,3,
TICKET-5125,HC-1026,2024-08-23,chat,hipaa_compliance,high,neutral,58,True,False,2.0,BAA (Business Associate Agreement) needs review before renewal. Legal team has questions.,Medical Assistant,8,
TICKET-5126,HC-1026,2024-06-10,chat,telehealth_setup,high,frustrated,58,True,False,4.0,Issue with telehealth setup This is causing significant disruption to patient care. Practice Manager escalating.,Front Desk,9,None
TICKET-5127,HC-1026,2024-04-26,phone,patient_portal,low,neutral,80,True,False,5.0,Appointment request form on portal not submitting. Patients calling saying online booking broken.,Medical Assistant,3,Medium
TICKET-5128,HC-1026,2025-02-24,phone,ehr_integration,high,neutral,41,True,False,,Epic integration stopped syncing patient appointments after last NextGen update. Appointments from past 48 hours missing.,Provider,4,Medium
TICKET-5129,HC-1026,2024-05-17,email,appointment_reminders,medium,concerned,3,True,False,1.0,Issue with appointment reminders,Medical Assistant,9,
TICKET-5130,HC-1028,2024-09-21,phone,patient_scheduling,high,concerned,46,True,False,4.0,Need to block off provider time for hospital rounds but system won't allow multi-location blocking.,Provider,1,Medium
TICKET-5131,HC-1028,2024-01-20,phone,prescription_workflow,medium,concerned,72,True,False,4.0,Issue with prescription workflow,Medical Assistant,2,
TICKET-5132,HC-1028,2025-04-27,phone,patient_portal,medium,concerned,4,True,False,,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'.,Front Desk,2,High
TICKET-5133,HC-1028,2025-08-19,chat,patient_scheduling,high,frustrated,63,True,False,5.0,Need to block off provider time for hospital rounds but system won't allow multi-location blocking. This is causing significant disruption to patient care. Chief Medical Officer escalating.,Billing Specialist,1,
TICKET-5134,HC-1029,2024-12-16,chat,patient_portal,low,positive,77,True,False,3.0,Appointment request form on portal not submitting. Patients calling saying online booking broken.,Medical Assistant,3,
TICKET-5135,HC-1029,2024-05-15,chat,hipaa_compliance,high,neutral,51,True,False,,Need audit logs for past 6 months for compliance review. Upcoming HIPAA audit in 2 weeks.,Provider,2,Low
TICKET-5136,HC-1030,2024-06-02,phone,claims_management,low,positive,14,True,False,,Issue with claims management,Provider,7,Low
TICKET-5137,HC-1030,2025-06-28,phone,reporting_analytics,medium,positive,24,False,False,,Issue with reporting analytics,IT Admin,8,
TICKET-5138,HC-1030,2025-09-09,chat,reporting_analytics,medium,positive,29,True,False,5.0,Issue with reporting analytics,IT Admin,6,Low
TICKET-5139,HC-1030,2025-06-18,phone,insurance_verification,medium,positive,61,True,False,2.0,Issue with insurance verification,IT Admin,6,None
TICKET-5140,HC-1030,2024-08-22,chat,patient_portal,medium,satisfied,30,True,False,,Portal messaging feature timing out for 8832 patient messages. Staff having to call patients back.,IT Admin,6,Low
TICKET-5141,HC-1030,2025-08-12,email,hipaa_compliance,high,satisfied,55,True,False,,Questions about data encryption standards. Internal audit flagged concerns about patient data security.,Front Desk,4,High
TICKET-5142,HC-1031,2024-03-26,email,clinical_documentation,low,neutral,60,True,False,,Issue with clinical documentation,Practice Manager,6,Medium
TICKET-5143,HC-1031,2024-01-08,chat,claims_management,low,neutral,87,True,False,2.0,Issue with claims management,Front Desk,1,High
TICKET-5144,HC-1031,2024-11-19,chat,insurance_verification,low,neutral,59,True,False,,Issue with insurance verification,Front Desk,5,None
TICKET-5145,HC-1031,2024-09-16,email,clinical_documentation,low,neutral,30,True,False,3.0,Issue with clinical documentation,Provider,2,
TICKET-5146,HC-1031,2025-02-10,email,billing_workflow,low,concerned,84,False,False,3.0,Explanation of Benefits (EOB) posting is 3 weeks behind. Billing team can't reconcile accounts receivable.,Provider,2,
TICKET-5147,HC-1031,2025-01-14,email,reporting_analytics,low,neutral,52,True,False,,Issue with reporting analytics,Billing Specialist,2,High
TICKET-5148,HC-1032,2025-02-11,phone,prescription_workflow,high,urgent,88,True,False,1.0,Issue with prescription workflow This is causing significant disruption to patient care. IT Director escalating.,IT Admin,6,
TICKET-5149,HC-1032,2024-08-23,email,patient_portal,high,frustrated,65,True,False,4.0,Appointment request form on portal not submitting. Patients calling saying online booking broken. This is causing significant disruption to patient care. IT Director escalating.,Practice Manager,6,
TICKET-5150,HC-1032,2025-02-14,phone,telehealth_setup,medium,negative,94,False,False,,Issue with telehealth setup Staff productivity severely impacted. Need resolution ASAP.,IT Admin,2,
TICKET-5151,HC-1032,2024-04-03,phone,patient_scheduling,high,frustrated,60,True,False,4.0,Recurring appointment feature not working properly. Patients with standing weekly appointments getting canceled. This is causing significant disruption to patient care. IT Director escalating.,Front Desk,6,
TICKET-5152,HC-1032,2024-09-26,chat,billing_workflow,medium,negative,95,False,False,,Explanation of Benefits (EOB) posting is 3 weeks behind. Billing team can't reconcile accounts receivable. Staff productivity severely impacted. Need resolution ASAP.,Practice Manager,2,None
TICKET-5153,HC-1032,2025-02-14,phone,claims_management,high,urgent,55,True,False,3.0,Issue with claims management This is causing significant disruption to patient care. IT Director escalating.,Provider,6,
TICKET-5154,HC-1032,2024-06-28,email,appointment_reminders,medium,negative,91,True,False,4.0,Issue with appointment reminders Staff productivity severely impacted. Need resolution ASAP.,Medical Assistant,4,Medium
TICKET-5155,HC-1032,2025-06-14,phone,clinical_documentation,high,urgent,8,True,False,,Issue with clinical documentation This is causing significant disruption to patient care. IT Director escalating.,Provider,8,High
TICKET-5156,HC-1033,2024-08-25,phone,claims_management,medium,positive,58,True,False,5.0,Issue with claims management,Billing Specialist,4,
TICKET-5157,HC-1033,2024-01-01,chat,patient_scheduling,high,positive,13,True,False,5.0,Double-booking occurring in Provider schedule - happened 5 times this week. Causing patient wait issues.,Front Desk,3,
TICKET-5158,HC-1033,2025-02-08,chat,insurance_verification,medium,neutral,59,True,False,4.0,Issue with insurance verification,IT Admin,2,Low
TICKET-5159,HC-1033,2024-04-02,chat,reporting_analytics,low,satisfied,85,False,False,1.0,Issue with reporting analytics,Provider,8,High
TICKET-5160,HC-1034,2024-12-22,email,telehealth_setup,low,positive,50,True,False,,Issue with telehealth setup,Medical Assistant,4,
TICKET-5161,HC-1034,2025-02-17,email,claims_management,medium,positive,65,True,False,,Issue with claims management,Front Desk,8,Medium
TICKET-5162,HC-1034,2025-07-26,email,hipaa_compliance,high,positive,32,True,False,,BAA (Business Associate Agreement) needs review before renewal. Legal team has questions.,Practice Manager,5,High
TICKET-5163,HC-1034,2024-09-20,email,reporting_analytics,low,neutral,45,True,False,1.0,Issue with reporting analytics,Front Desk,1,Medium
TICKET-5164,HC-1035,2024-09-06,ticket,telehealth_setup,low,neutral,18,False,False,5.0,Issue with telehealth setup,Provider,1,High
TICKET-5165,HC-1035,2025-05-08,chat,hipaa_compliance,high,frustrated,92,True,False,,Questions about data encryption standards. Internal audit flagged concerns about patient data security. This is causing significant disruption to patient care. Director of Operations escalating.,IT Admin,9,Medium
TICKET-5166,HC-1035,2024-08-13,phone,appointment_reminders,medium,concerned,49,True,False,4.0,Issue with appointment reminders,Front Desk,9,High
TICKET-5167,HC-1035,2025-06-12,ticket,reporting_analytics,low,neutral,7,True,False,1.0,Issue with reporting analytics,Billing Specialist,6,
TICKET-5168,HC-1035,2024-04-05,chat,insurance_verification,low,neutral,33,True,False,,Issue with insurance verification,Medical Assistant,6,
